datetime,low,open,close,high,volume,total_turnover,open_interest
2023-10-11 09:48:00,146824.9657502191,147018.34767144037,146943.2713008109,147018.34767144037,418.0,63849000.0,117519.0
2023-10-11 09:49:00,146950.13693983975,146982.88548776868,147413.17547801754,147457.27434603806,1956.0,299126300.0,117935.0
2023-10-11 09:50:00,147323.0557907213,147441.4917033525,147355.99898408397,147498.13875719605,874.0,132491300.0,118120.0
2023-10-11 09:51:00,147254.83376651967,147347.44829279446,147286.74830888023,147390.70540227066,626.0,95811050.0,118117.0
2023-10-11 09:52:00,147117.89703596052,147263.33986751386,147181.7920271732,147414.79527173177,1059.0,162436200.0,118352.0
2023-10-11 09:53:00,147117.0561399062,147180.95340683477,147160.32610991423,147224.2233768428,353.0,54049950.0,118365.0
2023-10-11 09:54:00,147090.58082982927,147154.49490855666,147165.8113379604,147229.72541668778,553.0,84841600.0,118434.0
2023-10-11 09:55:00,147112.10164742422,147123.41249746812,147144.06690972927,147198.6538721221,255.0,38928850.0,118488.0
2023-10-11 09:56:00,147007.8416319368,147135.7340509896,147071.7878414632,147135.7340509896,606.0,93041950.0,118534.0
2023-10-11 09:57:00,147060.6026748069,147103.884457112,147071.90778156306,147147.16623941713,218.0,32890750.0,118588.0
2023-10-11 09:58:00,146971.27017064387,147069.12889811138,147078.50756214626,147101.1079619742,315.0,47465400.0,118551.0
2023-10-11 09:59:00,146994.0842350282,147048.66074064077,146994.0842350282,147123.92576724885,315.0,47744300.0,118573.0
2023-10-11 10:00:00,146955.22799736832,146998.5061659666,147162.0101388397,147225.97339608957,415.0,63057500.0,118554.0
2023-10-11 10:01:00,147013.52688770305,147115.03924196825,147045.51141009753,147179.0082867572,340.0,51220900.0,118623.0
2023-10-11 10:02:00,147033.72696556314,147045.01352364742,147110.86863103614,147154.15062225627,169.0,25243100.0,118681.0
2023-10-11 10:03:00,147088.4598206762,147120.45665217243,147175.0198031483,147207.01663464456,240.0,36457450.0,118668.0
2023-10-11 10:04:00,147111.51963262554,147188.63329962926,147143.5220761712,147188.63329962926,127.0,19059000.0,118680.0
2023-10-11 10:05:00,147094.49328819496,147126.5053138632,147126.5053138632,147158.51733953142,146.0,22379750.0,118746.0
2023-10-11 10:06:00,147140.1071858252,147140.1071858252,147354.1746943858,147418.22201095417,761.0,116640200.0,118859.0
2023-10-11 10:07:00,147227.93537257542,147369.03143013423,147480.40013464043,147749.5544242016,2087.0,320036500.0,118835.0
2023-10-11 10:08:00,147482.0265973554,147485.72095488038,147757.33151643616,147915.25142155375,2102.0,323066100.0,118884.0
2023-10-11 10:09:00,147593.2389303232,147739.94994288788,147687.59112746085,147784.9643889001,1140.0,175037150.0,119064.0
2023-10-11 10:10:00,147681.64996727253,147727.471342497,147756.99192722756,147855.64716445966,872.0,133087700.0,119166.0
2023-10-11 10:11:00,147745.33082374153,147813.99876467985,148207.35015483235,148318.34366940163,4252.0,651943150.0,119807.0
2023-10-11 10:12:00,148082.3235257501,148242.29364651203,148088.19272108562,148389.54558658754,2662.0,410927600.0,120485.0
2023-10-11 10:13:00,147851.2424889672,148085.69807933646,148023.06250675267,148093.18210151012,1256.0,192778200.0,120323.0
2023-10-11 10:14:00,147877.21672422954,148053.1930791711,147941.72505977683,148085.44724694474,878.0,134493900.0,120448.0
2023-10-11 10:15:00,147914.29660820265,147925.41651470438,148033.3331951858,148130.12996916546,837.0,127916500.0,120644.0
2023-10-11 10:31:00,148059.27047778043,148099.95661049444,148211.7238443928,148590.77291172507,2185.0,335544600.0,120997.0
2023-10-11 10:32:00,148076.33037006407,148221.1664254703,148141.77051891666,148290.51436841016,854.0,129416100.0,120925.0
2023-10-11 10:33:00,148158.33594794982,148158.33594794982,148275.09742886867,148364.38520732534,809.0,120739150.0,121114.0
2023-10-11 10:34:00,148042.66125104227,148232.64399699497,148194.15591384532,148264.9775862496,573.0,86598650.0,121131.0
2023-10-11 10:35:00,148033.411745285,148151.12252899178,148092.1443605299,148218.30919070612,708.0,104707200.0,121155.0
2023-10-11 10:36:00,147916.22502620134,148076.23146306642,148045.47727704103,148119.6444044662,1190.0,182335200.0,121177.0
2023-10-11 10:37:00,147679.81058477404,147964.26399127304,147755.49527288353,148018.787395458,1118.0,171274350.0,121004.0
2023-10-11 10:38:00,147773.8550044221,147773.8550044221,148083.51503930302,148115.78238264882,1018.0,155351650.0,120983.0
2023-10-11 10:39:00,147960.11492449825,148123.6202042552,148035.804512768,148123.6202042552,394.0,60208000.0,121123.0
2023-10-11 10:40:00,148011.85899814471,148044.15749330036,148055.27478870336,148152.17027417026,591.0,90440450.0,121275.0
