factor_id,factor_name,segment_id,trend,reversal_segment_id,reversal_trend,realtime_trend,matched_segment_id,matched_segment_trend,matched_segment_source,signal_date,signal_close,factor_value,position_scale,is_reversal_window,is_effective_signal,end_date,end_close,end_signal_date,end_signal_close,reversal_start_date,reversal_end_date,days_to_trend_end
51,price_volume_up_oi_down_short_5d,30.0,up_trend,,,up_trend,30.0,up_trend,segment_id,2025-01-08,76677.90832608871,0.36951542567615503,-1.0,0,0,2025-01-20,80380.96737600217,2025-02-06,77450.23287346536,2025-01-15,2025-01-22,12.0
51,price_volume_up_oi_down_short_5d,30.0,up_trend,,,up_trend,30.0,up_trend,segment_id,2025-01-09,77701.35477379091,0.2515675339116323,-1.0,0,0,2025-01-20,80380.96737600217,2025-02-06,77450.23287346536,2025-01-15,2025-01-22,11.0
51,price_volume_up_oi_down_short_5d,31.0,down_trend,30.0,up_trend,up_trend,30.0,up_trend,reversal_segment_id,2025-01-22,78915.04334667012,0.10906200885023364,-1.0,1,1,2025-01-20,80380.96737600217,2025-02-06,77450.23287346536,2025-01-15,2025-01-22,-2.0
51,price_volume_up_oi_down_short_5d,31.0,down_trend,,,up_trend,31.0,down_trend,segment_id,2025-01-23,79341.34431291292,0.035889182727872115,-1.0,0,0,2025-05-29,59083.59433364111,2025-06-11,61764.79946001634,2025-05-26,2025-06-03,126.0
51,price_volume_up_oi_down_short_5d,31.0,down_trend,,,down_trend,31.0,down_trend,segment_id,2025-03-11,76210.66910874125,0.060322575472082036,-1.0,0,0,2025-05-29,59083.59433364111,2025-06-11,61764.79946001634,2025-05-26,2025-06-03,79.0
51,price_volume_up_oi_down_short_5d,31.0,down_trend,,,down_trend,31.0,down_trend,segment_id,2025-03-12,75867.29421672014,0.07141952221271873,-1.0,0,0,2025-05-29,59083.59433364111,2025-06-11,61764.79946001634,2025-05-26,2025-06-03,78.0
51,price_volume_up_oi_down_short_5d,34.0,up_trend,,,up_trend,34.0,up_trend,segment_id,2025-06-27,63306.3318060167,0.9333075141788765,-1.0,0,0,2025-07-22,72385.3095290136,2025-07-23,69036.84822482467,2025-07-17,2025-07-24,25.0
51,price_volume_up_oi_down_short_5d,34.0,up_trend,,,up_trend,34.0,up_trend,segment_id,2025-06-30,62290.83671838749,1.0804991938268997,-1.0,0,0,2025-07-22,72385.3095290136,2025-07-23,69036.84822482467,2025-07-17,2025-07-24,22.0
51,price_volume_up_oi_down_short_5d,34.0,up_trend,,,up_trend,34.0,up_trend,segment_id,2025-07-01,62735.91978325273,0.3512415846503486,-1.0,0,0,2025-07-22,72385.3095290136,2025-07-23,69036.84822482467,2025-07-17,2025-07-24,21.0
51,price_volume_up_oi_down_short_5d,34.0,up_trend,,,up_trend,34.0,up_trend,segment_id,2025-07-02,63902.8456296618,0.34354587369702355,-1.0,0,0,2025-07-22,72385.3095290136,2025-07-23,69036.84822482467,2025-07-17,2025-07-24,20.0
51,price_volume_up_oi_down_short_5d,34.0,up_trend,,,up_trend,34.0,up_trend,segment_id,2025-07-03,64016.21575214755,0.19930090115385588,-1.0,0,0,2025-07-22,72385.3095290136,2025-07-23,69036.84822482467,2025-07-17,2025-07-24,19.0
51,price_volume_up_oi_down_short_5d,39.0,up_trend,,,down_trend,39.0,up_trend,segment_id,2025-11-04,78692.84692417741,0.3824922235152031,-1.0,0,0,2025-11-19,99785.99208447618,2025-11-21,91473.83576451118,2025-11-14,2025-11-21,15.0
51,price_volume_up_oi_down_short_5d,,no_trend,39.0,up_trend,down_trend,39.0,up_trend,reversal_segment_id,2025-11-21,91473.83576451118,0.890096454368168,-1.0,1,1,2025-11-19,99785.99208447618,2025-11-21,91473.83576451118,2025-11-14,2025-11-21,-2.0
51,price_volume_up_oi_down_short_5d,,no_trend,,,down_trend,,,,2025-11-24,91310.30934205856,0.6876843315641766,-1.0,0,0,,,,,,,
51,price_volume_up_oi_down_short_5d,41.0,up_trend,,,up_trend,41.0,up_trend,segment_id,2025-12-19,111306.9801743984,0.4750460000107039,-1.0,0,0,2025-12-26,130537.55436496645,2025-12-29,119352.66209023353,2025-12-23,2025-12-30,7.0
