factor_id,factor_name,signal_date,signal_close,factor_value,position,position_scale,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation,speculation_median_past,speculation_mad_past,speculation_mad_score
12,price_up_speculation_up,2019-03-11,3687.092073632829,1.0771651611209454,0.0,0.0,0.012693447970685945,3643.4674086656764,3593.6461065280587,3554.558881675742,1,122717.0,128119.0,127090.3,1,-0.2925042063896279,-0.6682600054375301,0.235287793761435,1.0771651611209454
12,price_up_speculation_up,2019-04-09,3960.4450071728047,1.5770159408973405,0.0,0.0,0.007757645756176101,3873.1908757952815,3791.3387236370518,3745.0909347527713,1,126171.0,119496.4,117424.3,1,-0.261587842308379,-0.7313803237100447,0.2009305545736189,1.5770159408973405
12,price_up_speculation_up,2019-04-11,3993.797696178582,1.4287527379071965,0.0,0.0,0.0018430657976409304,3950.5344229863613,3851.798619928304,3776.513298708565,1,125791.0,124606.0,119130.2,1,-0.3005932205264348,-0.7262181471006804,0.2009305545736189,1.4287527379071965
12,price_up_speculation_up,2019-04-19,4159.174486204956,1.8223187455138619,0.0,0.0,0.012213809675741594,4096.297841830024,4039.407868431329,3892.4441062942547,1,142080.0,128431.2,127231.7,1,-0.0386381126276601,-0.48348684233075556,0.16465086488686836,1.8223187455138619
12,price_up_speculation_up,2019-04-26,4100.68569676153,1.0923128622677565,0.0,0.0,-0.010148484156471738,4134.0852282678,4115.191535048912,4000.1228568838574,1,122280.0,131277.6,129854.4,1,-0.259153852538048,-0.6665785826480456,0.2515801334337306,1.0923128622677565
12,price_up_speculation_up,2019-05-16,4306.41818719914,2.362135646897985,0.0,0.0,0.009772006151147705,4251.287244615227,4235.077684232397,4175.355024167154,1,165567.0,153017.4,143027.8,1,0.0448285257646605,-0.4454443578778317,0.13999387802790872,2.362135646897985
12,price_up_speculation_up,2019-05-22,4207.425474617912,1.394260810747744,0.0,0.0,-0.007578424009324847,4240.412948057797,4239.32704391116,4199.9682220100285,1,156705.0,161031.0,154352.5,1,-0.1811238441668241,-0.4057195654897525,0.10865093351373206,1.394260810747744
12,price_up_speculation_up,2019-05-29,4344.804529114874,4.4248537165935415,0.0,0.0,0.01500259452738728,4267.797881250236,4254.105414654016,4233.396385255638,1,165242.0,165294.0,163162.5,1,0.7256290986138665,-0.3828588055674619,0.16896939339601177,4.4248537165935415
12,price_up_speculation_up,2019-05-31,4394.6980156664295,1.331508729813252,0.0,0.0,0.01565972597934362,4319.954947935317,4270.859185425156,4256.707428909137,1,165194.0,164510.6,162513.0,1,0.0206872322157276,-0.3128743758832849,0.16896939339601177,1.331508729813252
12,price_up_speculation_up,2019-07-12,4445.608868012927,1.2977498285697138,0.0,0.0,-0.014902544677496743,4495.6942261441745,4436.59581664788,4383.483212201789,1,166486.0,174806.2,162026.0,1,0.097913613726527,-0.21190411442004914,0.16102425148176125,1.2977498285697138
