factor_id,factor_name,signal_date,signal_close,factor_value,position,position_scale,speculation,speculation_first_diff,speculation_down_flag,speculation_down_days,speculation_down_streak
23,speculation_continuous_drop,2024-03-21,117150.57303903022,4.0,0.0,0.0,-0.2353533402864061,-0.09587224733520619,1.0,4.0,3
23,speculation_continuous_drop,2024-05-06,112887.53718943716,4.0,0.0,0.0,-0.7921743276892471,-0.744927445437827,1.0,4.0,2
23,speculation_continuous_drop,2024-07-03,94441.91970724764,4.0,0.0,0.0,-0.6775919293621054,-0.06337240470401395,1.0,4.0,3
23,speculation_continuous_drop,2024-07-18,88207.13889411473,4.0,0.0,0.0,-0.8266617190689088,-0.02268437711225335,1.0,4.0,3
23,speculation_continuous_drop,2024-07-22,89225.08093057314,4.0,0.0,0.0,-0.9404351259002204,-0.7689860716292742,1.0,4.0,1
23,speculation_continuous_drop,2024-08-07,80870.83524348213,4.0,0.0,0.0,-0.9857478006792184,-0.18087706411250937,1.0,4.0,3
23,speculation_continuous_drop,2024-08-20,75685.96489642184,4.0,0.0,0.0,-0.5693542015082973,-0.0953707922142803,1.0,4.0,4
23,speculation_continuous_drop,2024-08-21,78538.71756378718,4.0,0.0,0.0,0.0983043160887171,0.6676585175970144,0.0,4.0,0
23,speculation_continuous_drop,2024-08-22,76187.72383019413,4.0,0.0,0.0,-0.0508213056330445,-0.1491256217217616,1.0,4.0,1
23,speculation_continuous_drop,2024-08-23,74170.68976556571,4.0,0.0,0.0,-0.4278164634716551,-0.3769951578386106,1.0,4.0,2
23,speculation_continuous_drop,2024-08-26,75149.43115224813,4.0,0.0,0.0,-0.4484189746273911,-0.020602511155736025,1.0,4.0,3
23,speculation_continuous_drop,2024-08-28,76577.4677293547,4.0,0.0,0.0,-0.3815396381552903,-0.12312339143343032,1.0,4.0,1
23,speculation_continuous_drop,2024-09-13,78366.63193556007,4.0,0.0,0.0,-0.2147243031639237,-0.44625806398569023,1.0,4.0,2
23,speculation_continuous_drop,2024-09-18,76354.11342567294,4.0,0.0,0.0,-0.3189512814234624,-0.1042269782595387,1.0,4.0,3
23,speculation_continuous_drop,2024-09-20,76442.39275010422,4.0,0.0,0.0,-0.4321042865335623,-0.21810613320408362,1.0,4.0,1
23,speculation_continuous_drop,2024-10-15,76020.27350814737,4.0,0.0,0.0,-0.7221895947732964,-0.3174868042329967,1.0,4.0,3
23,speculation_continuous_drop,2024-11-21,82417.07326905093,4.0,0.0,0.0,-0.0053777967116127,-0.2167157475670258,1.0,4.0,2
23,speculation_continuous_drop,2024-11-22,80013.17702836446,4.0,0.0,0.0,-0.0461798103470504,-0.0408020136354377,1.0,4.0,3
23,speculation_continuous_drop,2024-11-25,80946.69230163954,4.0,0.0,0.0,-0.2918001423525226,-0.2456203320054722,1.0,4.0,4
23,speculation_continuous_drop,2024-11-26,79392.31455064192,4.0,0.0,0.0,-0.2020661789383748,0.0897339634141478,0.0,4.0,0
23,speculation_continuous_drop,2024-11-27,79372.12796872055,4.0,0.0,0.0,-0.6153539328173045,-0.41328775387892974,1.0,4.0,1
23,speculation_continuous_drop,2025-01-10,77406.66711529455,4.0,0.0,0.0,-0.7563491233906806,-0.13924923807056788,1.0,4.0,4
23,speculation_continuous_drop,2025-01-13,78216.98265171045,4.0,0.0,0.0,-0.4273513091216917,0.3289978142689889,0.0,4.0,0
23,speculation_continuous_drop,2025-01-14,78628.28548595963,4.0,0.0,0.0,-0.4649404711490107,-0.03758916202731899,1.0,4.0,1
23,speculation_continuous_drop,2025-03-13,75593.69962979163,4.0,0.0,0.0,-1.5317928184851757,-0.1045276055258364,1.0,4.0,4
23,speculation_continuous_drop,2025-03-14,75804.69022146142,4.0,0.0,0.0,-1.1919558574625957,0.33983696102258,0.0,4.0,0
23,speculation_continuous_drop,2025-03-24,74012.59724792495,4.0,0.0,0.0,-1.2114405220558615,-0.4706937312173992,1.0,4.0,2
23,speculation_continuous_drop,2025-04-01,74660.0485069908,4.0,0.0,0.0,-1.2271868505892307,-0.0936231987235292,1.0,4.0,4
23,speculation_continuous_drop,2025-04-02,73724.81222965005,4.0,0.0,0.0,-0.8650564929507968,0.36213035763843393,0.0,4.0,0
23,speculation_continuous_drop,2025-04-03,73560.76572671706,4.0,0.0,0.0,-1.132005797640146,-0.2669493046893493,1.0,4.0,1
23,speculation_continuous_drop,2025-05-29,59083.59433364111,4.0,0.0,0.0,-0.0759512534123355,-0.025050359144149298,1.0,4.0,2
23,speculation_continuous_drop,2025-06-18,60025.524931649954,4.0,0.0,0.0,-0.8498643465504205,-0.034251407176688176,1.0,4.0,3
23,speculation_continuous_drop,2025-06-19,60143.416111062805,4.0,0.0,0.0,-0.8977156181213714,-0.047851271570950815,1.0,4.0,4
23,speculation_continuous_drop,2025-06-20,59074.355492316274,4.0,0.0,0.0,-0.3636223100663722,0.5340933080549992,0.0,4.0,0
23,speculation_continuous_drop,2025-06-23,59161.95331525076,4.0,0.0,0.0,-0.6075460411313307,-0.24392373106495852,1.0,4.0,1
23,speculation_continuous_drop,2025-07-04,63281.473286125394,4.0,0.0,0.0,-0.3184743946498274,-0.1509235729030273,1.0,4.0,2
23,speculation_continuous_drop,2025-07-07,63640.78710775284,4.0,0.0,0.0,-0.7331553113980166,-0.4146809167481892,1.0,4.0,3
23,speculation_continuous_drop,2025-07-09,64345.94835454461,4.0,0.0,0.0,-0.3386696151280244,-0.4571427416737579,1.0,4.0,1
23,speculation_continuous_drop,2025-08-04,69151.97043703265,4.0,0.0,0.0,-0.0463348011631293,-0.2545983363262192,1.0,4.0,3
23,speculation_continuous_drop,2025-08-06,69686.09121096708,4.0,0.0,0.0,-0.0736914690032746,-0.1771128829678443,1.0,4.0,1
