factor_id,factor_name,segment_id,trend,signal_date,signal_close,factor_value,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation,speculation_mad_score,position_scale,is_reversal_window,is_effective_signal,end_date,end_close,end_signal_date,end_signal_close,reversal_start_date,reversal_end_date,days_to_trend_end
31,price_up_speculation_up,34.0,up_trend,2025-07-17,67713.29837987259,2.8296738739737264,66224.7059284869,65044.56094501332,63405.78809456393,1,637419.0,623199.6,607669.3,1,0.4909439621285955,2.8296738739737264,0.0,1,1,2025-07-22,72385.3095290136,2025-07-23,69036.84822482467,2025-07-17,2025-07-24,5
31,price_up_speculation_up,34.0,up_trend,2025-07-18,69403.89210736599,2.7396554927110017,67261.51590550676,65656.80282713738,63922.26492531642,1,660768.0,635158.8,614462.3,1,0.8014961074766556,2.7396554927110017,0.0,1,1,2025-07-22,72385.3095290136,2025-07-23,69036.84822482467,2025-07-17,2025-07-24,4
31,price_up_speculation_up,36.0,up_trend,2025-08-12,81799.26768464812,1.3266741812009595,73735.9568740919,71709.50164160568,71323.66621350909,1,836361.0,752562.8,730836.4,1,0.9572856032996698,1.3266741812009595,0.0,0,0,2025-08-18,88979.04766675524,2025-08-20,80716.02111876692,2025-08-13,2025-08-20,6
31,price_up_speculation_up,38.0,up_trend,2025-10-23,79720.24378879322,1.261591716303241,76857.84771746892,75052.81189565815,74225.57222882318,1,815542.0,734323.0,705615.1,1,-0.1530240480222876,1.261591716303241,0.0,0,0,2025-10-30,83298.19290610154,2025-11-04,78692.84692417741,2025-10-27,2025-11-03,7
31,price_up_speculation_up,38.0,up_trend,2025-10-24,79399.00301292715,2.2627067681846422,77586.87608676456,75699.61502460424,74546.4951905609,1,812167.0,755603.2,718662.2,1,0.0623678166338737,2.2627067681846422,0.0,0,0,2025-10-30,83298.19290610154,2025-11-04,78692.84692417741,2025-10-27,2025-11-03,6
31,price_up_speculation_up,38.0,up_trend,2025-10-28,81468.53358311905,1.19152790430668,79883.71397318372,77489.88443497664,75330.06126636243,1,862606.0,819170.4,756364.8,1,0.0837428673871411,1.19152790430668,0.0,1,1,2025-10-30,83298.19290610154,2025-11-04,78692.84692417741,2025-10-27,2025-11-03,2
31,price_up_speculation_up,38.0,up_trend,2025-10-30,83298.19290610154,1.1020336291184638,81735.65677480059,79296.75224613477,76307.38284795628,1,912869.0,865230.2,799776.6,1,0.1275767848062199,1.1020336291184638,0.0,1,1,2025-10-30,83298.19290610154,2025-11-04,78692.84692417741,2025-10-27,2025-11-03,0
31,price_up_speculation_up,39.0,up_trend,2025-11-04,78692.84692417741,1.9892270460767825,81527.03687852668,80705.3754258552,77353.25304585116,1,826917.0,880727.0,849948.7,1,0.3994719784277493,1.9892270460767825,0.0,0,0,2025-11-19,99785.99208447618,2025-11-21,91473.83576451118,2025-11-14,2025-11-21,15
31,price_up_speculation_up,39.0,up_trend,2025-11-17,95362.68556890875,1.1307706842731315,88799.2142681896,85208.26759867535,82816.69991996608,1,1118668.0,1035301.2,958098.5,1,0.5031669400595563,1.1307706842731315,0.0,1,1,2025-11-19,99785.99208447618,2025-11-21,91473.83576451118,2025-11-14,2025-11-21,2
31,price_up_speculation_up,39.0,up_trend,2025-11-18,93815.03801262262,2.0172931968099603,90242.62664651223,86720.48670751987,83712.93106668754,1,1022292.0,1041309.0,977636.0,1,0.6703367240686223,2.0172931968099603,0.0,1,1,2025-11-19,99785.99208447618,2025-11-21,91473.83576451118,2025-11-14,2025-11-21,1
31,price_up_speculation_up,39.0,up_trend,2025-11-19,99785.99208447618,1.9234146805184704,92874.7709967208,88779.8453431486,84849.19127569541,1,1093042.0,1059235.6,1004163.6,1,0.7972606264922603,1.9234146805184704,0.0,1,1,2025-11-19,99785.99208447618,2025-11-21,91473.83576451118,2025-11-14,2025-11-21,0
31,price_up_speculation_up,41.0,up_trend,2025-12-17,108400.26703020018,4.085469610584218,101085.53751781848,97285.71530956196,96202.38488713944,1,1078305.0,1072216.8,1057649.7,1,0.3274873999941869,4.085469610584218,0.0,0,0,2025-12-26,130537.55436496645,2025-12-29,119352.66209023353,2025-12-23,2025-12-30,9
31,price_up_speculation_up,41.0,up_trend,2025-12-18,106093.20558115456,2.7981437817703303,102602.15994931755,98565.94379631801,96532.69192312076,1,1066231.0,1072840.2,1059681.1,1,0.2068493552607957,2.7981437817703303,0.0,0,0,2025-12-26,130537.55436496645,2025-12-29,119352.66209023353,2025-12-23,2025-12-30,8
31,price_up_speculation_up,41.0,up_trend,2025-12-19,111306.9801743984,2.1072931108117126,105384.02771795246,100520.36089389998,97524.34914361512,1,1052074.0,1072141.0,1059659.2,1,0.132808986731991,2.1072931108117126,0.0,0,0,2025-12-26,130537.55436496645,2025-12-29,119352.66209023353,2025-12-23,2025-12-30,7
31,price_up_speculation_up,41.0,up_trend,2025-12-22,114367.91199111343,2.1144322785469356,108106.16124609954,102515.8972723335,98677.22927606787,1,1078482.0,1072008.8,1062138.4,1,0.2234361420402812,2.1144322785469356,0.0,0,0,2025-12-26,130537.55436496645,2025-12-29,119352.66209023353,2025-12-23,2025-12-30,4
31,price_up_speculation_up,42.0,up_trend,2026-01-13,167443.3787281536,1.798306944965973,147400.12280977616,136091.64887249132,123419.465757153,1,901351.0,970519.0,965565.4,1,0.2710447601278082,1.798306944965973,0.0,1,1,2026-01-13,167443.3787281536,2026-01-16,146675.0696779114,2026-01-07,2026-01-15,0
31,price_up_speculation_up,46.0,up_trend,2026-03-03,151111.41966204415,3.295658423485646,168024.30190089095,159435.3309000962,154276.72385152342,1,646830.0,692856.6,673510.1,1,-0.1061183433578977,3.295658423485646,0.0,1,1,2026-03-10,162775.55999529533,2026-03-11,155068.5139548409,2026-03-05,2026-03-12,7
