date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,speculation_change,speculation_change_rate,speculation_change_rate_rank,speculation_fast_rise_signal,speculation_fast_drop_signal,signal_type,signal,position,position_scale
2023-10-17,156602.9712412974,157225.7441294602,159987.87518911972,154292.7897637863,347794.0,56986900450.0,120006.0,1.0640686089454428,21,speculation_change_rate,-0.239586431337535,-0.2738928244154615,-0.239586431337535,0.2,0,0,none,0,1.0,1.0
2023-10-18,158134.20468107678,153207.98823114813,159382.66344080793,153115.15977281856,308940.0,50637905900.0,122017.0,0.9289867039980632,21,speculation_change_rate,-0.12635564703719027,-0.1350819049473796,-0.12635564703719027,0.35,0,0,none,0,1.0,1.0
2023-10-19,152331.37561592323,146620.07736703512,153933.62401821022,144904.68608234668,385719.0,60891405300.0,128737.0,1.0973375615124814,21,speculation_change_rate,0.18335172566559033,0.16835085751441825,0.18335172566559033,0.6,0,0,none,0,1.0,1.0
2023-10-20,145138.43534829994,141762.22849393392,148632.48958033923,139450.3785621648,463799.0,69944514400.0,136415.0,1.2237495586798215,21,speculation_change_rate,0.1347495856040164,0.12641199716734008,0.1347495856040164,0.45,0,0,none,0,1.0,1.0
2023-10-23,141641.6698585686,141845.8572222496,142792.76093073745,139015.62225518006,451066.0,65915909750.0,142151.0,1.1547237973645903,21,speculation_change_rate,-0.06669736333492093,-0.0690257613152312,-0.06669736333492093,0.4,0,0,none,0,1.0,1.0
2023-10-24,142054.04704036537,144547.43179243224,144804.76409682093,141745.26444446004,325462.0,48720076100.0,142103.0,0.828693564588757,21,speculation_change_rate,-0.27821663441284206,-0.3260302327758333,-0.27821663441284206,0.15,0,0,none,0,1.0,1.0
2023-10-25,145871.47786709727,141611.4743999891,147155.30431181518,141460.8012170385,417831.0,63135410150.0,146914.0,1.045229662984907,21,speculation_change_rate,0.24176791037472345,0.21653609839614996,0.24176791037472345,0.75,0,0,none,0,1.0,1.0
2023-10-26,141441.79213243217,140808.58170937747,143235.1883647108,139256.82695870043,428696.0,63144333050.0,155074.0,1.016845620680504,21,speculation_change_rate,-0.027984999769046004,-0.028384042304402834,-0.027984999769046004,0.4,0,0,none,0,1.0,1.0
2023-10-27,140935.74322248675,142256.96517097135,143287.8115431767,139159.69578263556,441480.0,65652588600.0,157541.0,1.0304469770553892,21,speculation_change_rate,0.01369427562050185,0.013601356374885132,0.01369427562050185,0.45,0,0,none,0,1.0,1.0
2023-10-30,142694.66909670806,145151.50205200096,145745.1618348578,141460.09802808374,373255.0,56508504050.0,157651.0,0.8618781030406721,21,speculation_change_rate,-0.15512692838536069,-0.1685688740147171,-0.15512692838536069,0.3,0,0,none,0,1.0,1.0
2023-10-31,144333.45004297036,141472.84801844467,145724.91019151366,140932.88357145432,455376.0,69008567850.0,160480.0,1.0429541271050051,21,speculation_change_rate,0.19850629114919083,0.18107602406433299,0.19850629114919083,0.7,0,0,none,0,1.0,1.0
2023-11-01,141261.03520349308,140968.30176748667,143687.91138930997,140692.27210141782,412098.0,62240372450.0,166055.0,0.9089421263603804,21,speculation_change_rate,-0.12542043106570455,-0.13401200074462472,-0.12542043106570455,0.35,0,0,none,0,1.0,1.0
2023-11-02,140766.9670966233,139460.8904642823,142301.67609377927,139270.0871459695,303836.0,45557764500.0,169552.0,0.5833284177212471,21,speculation_change_rate,-0.2779159315989639,-0.3256137086391333,-0.2779159315989639,0.15,0,0,none,0,1.0,1.0
2023-11-03,140077.81029654376,139792.89015969163,141729.759411832,139214.62710351142,290964.0,43368758350.0,176966.0,0.4972419244517814,21,speculation_change_rate,-0.08248513107274857,-0.08608649326946571,-0.08248513107274857,0.45,0,0,none,0,1.0,1.0
2023-11-06,139141.50472100117,137673.10349068398,140509.91114959517,137552.00053292885,317821.0,46329013050.0,195148.0,0.4877300861672962,21,speculation_change_rate,-0.009466743840987446,-0.009511838284485208,-0.009466743840987446,0.55,0,0,none,0,1.0,1.0
2023-11-07,137192.0435655644,134064.895158069,137989.8875158748,133209.39380551552,429355.0,60244678200.0,207789.0,0.725760940812266,21,speculation_change_rate,0.26874833900054296,0.23803085464496987,0.26874833900054296,0.85,0,0,none,0,1.0,1.0
2023-11-08,133610.52239984306,135846.2033121477,136628.5174837909,131136.56267281107,658495.0,92805982050.0,200293.0,1.1901756336576224,21,speculation_change_rate,0.5910826442385195,0.4644146928453563,0.5910826442385195,0.95,0,0,none,0,1.0,1.0
2023-11-09,135803.34499007935,135284.71439327145,136855.17330713317,134301.72871450026,360549.0,51432634350.0,201886.0,0.5799246881619707,21,speculation_change_rate,-0.4567854652716924,-0.6102509454956516,-0.4567854652716924,0.0,0,1,fast_drop,1,0.0,0.0
2023-11-10,135735.41107514998,139399.19152847852,140598.2286540114,134813.23366583054,456149.0,65714809700.0,193637.0,0.8568342382430861,21,speculation_change_rate,0.31904705793971466,0.2769095500811154,0.31904705793971466,0.9,0,0,none,0,1.0,1.0
2023-11-13,140198.57453422566,133822.71001129967,141719.09176146373,133756.49034368532,450479.0,65086778700.0,193811.0,0.8434280036976943,21,speculation_change_rate,-0.013316771218070733,-0.013406234545391804,-0.013316771218070733,0.5,0,0,none,0,1.0,1.0
2023-11-14,133493.96312892076,134542.8126142225,136804.47506659693,132904.4045576751,423584.0,59571140400.0,196984.0,0.7656293343658661,21,speculation_change_rate,-0.07484933100289992,-0.07779866933182822,-0.07484933100289992,0.4,0,0,none,0,1.0,1.0
2023-11-15,135990.06781863593,135348.50198664705,136754.31208085569,134679.0677392781,326842.0,45800524050.0,208643.0,0.448852216230571,21,speculation_change_rate,-0.271506895065732,-0.31677711813529513,-0.271506895065732,0.15,0,0,none,0,1.0,1.0
