date,open,close,high,low,volume,total_turnover,open_interest,speculation,threshold,realtime_trend,realtime_position,realtime_segment_id,trend,segment_id,is_reversal_window,reversal_segment_id,reversal_trend,is_uptrend_reversal_window,is_downtrend_reversal_window,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_5_prev,price_ma_5_change,volume_ma_5,volume_ma_5_prev,volume_ma_5_change,oi_change_5,oi_change_5_rate,is_price_ma_5_up,is_volume_ma_5_up,is_oi_down_5,price_volume_oi_short_score,signal,position_scale,is_effective_signal
2024-05-20,108360.0470525537,107028.24148611155,109396.00686839664,106586.10302324452,144655.0,15505217050.0,285093.0,-0.6784638458096975,0.04,down_trend,-1.0,21.0,up_trend,18.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.13269412685070872,-0.003999230644070262,105910.69723310201,111226.20440068134,-0.04779006166955713,176178.0,163922.0,0.07476726735886574,-17530.0,-0.05792685949184299,0,1,1,0.13269412685070872,0,1.0,0
2024-05-21,107288.68315355608,107784.02408189964,110317.5741583449,106908.19578597735,216645.0,23336365150.0,282785.0,-0.2664268223760658,0.04,down_trend,-1.0,21.0,up_trend,18.0,1,18.0,up_trend,1,0,51,price_volume_up_oi_down_short_5d,0.0647963806890713,0.0070615249329883945,106261.5768829685,109568.46079949776,-0.0301809835823158,170269.6,180256.2,-0.05540225523449405,-19593.0,-0.0647963806890713,0,0,1,0.0647963806890713,0,1.0,0
2024-05-22,108035.25704791736,107605.50174858124,108990.46655412606,106958.03619279624,107426.0,11529194900.0,286518.0,-0.9809991229685386,0.04,down_trend,-1.0,21.0,up_trend,18.0,1,18.0,up_trend,1,0,51,price_volume_up_oi_down_short_5d,0.05743216569729189,-0.0016562967920250582,106990.29454457779,107853.17679677621,-0.008000526992582913,149447.6,196817.4,-0.24067892371304567,-17458.0,-0.05743216569729189,0,0,1,0.05743216569729189,0,1.0,0
2024-05-23,106690.81250830556,107398.06329002036,107730.8135515502,104860.10127503025,147474.0,15612800950.0,282825.0,-0.6511764427566882,0.04,down_trend,-1.0,21.0,up_trend,18.0,1,18.0,up_trend,1,0,51,price_volume_up_oi_down_short_5d,0.06165780141527856,-0.0019277681455874829,107454.764276477,106414.3176236158,0.00977731827911743,156040.6,189750.2,-0.17765251367323986,-15476.0,-0.05188048313616113,1,0,1,0.06165780141527856,0,1.0,0
2024-05-24,107616.91013104268,108631.95809717664,109005.71945569852,107045.1815124692,149784.0,16127909250.0,284945.0,-0.6431019228891484,0.04,up_trend,1.0,22.0,down_trend,19.0,1,18.0,up_trend,1,0,51,price_volume_up_oi_down_short_5d,0.01879211389707735,0.011488985642359673,107689.5577407579,106082.19234533634,0.01515207557352305,153196.8,176682.4,-0.13292552059514706,-1041.0,-0.0036400383235543,1,0,1,0.01879211389707735,0,1.0,0
2024-05-27,108816.04008401888,107409.3226333718,109644.18764221948,106775.03836829487,123486.0,13287398900.0,291216.0,-0.8579374705496736,0.04,up_trend,1.0,22.0,down_trend,19.0,1,18.0,up_trend,1,0,51,price_volume_up_oi_down_short_5d,0.01751548035818362,-0.011254841440960894,107765.77397020995,105910.69723310201,0.01751548035818362,148963.0,176178.0,-0.15447445197470744,6123.0,0.021477202176132,1,0,0,0.01751548035818362,0,1.0,0
2024-05-28,108350.36915969764,106390.44154823724,108903.37456139448,106103.75736396422,138938.0,14852977250.0,292720.0,-0.7451887302525706,0.04,up_trend,1.0,22.0,down_trend,19.0,1,18.0,up_trend,1,0,51,price_volume_up_oi_down_short_5d,0.01153267828745519,-0.009485965092735804,107487.05746347745,106261.5768829685,0.01153267828745519,133421.6,170269.6,-0.21640974078755104,9935.0,0.03513269798610252,1,0,0,0.01153267828745519,0,1.0,0
2024-05-29,106261.33265760232,106498.4946395742,107176.67889958322,105189.10171863851,115465.0,12184466800.0,290462.0,-0.9225053050497848,0.04,up_trend,1.0,22.0,down_trend,19.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.002573705383935865,0.0010156278117143813,107265.65604167606,106990.29454457779,0.002573705383935865,135029.4,149447.6,-0.09647662458279693,3944.0,0.013765278272220245,1,0,0,0.002573705383935865,0,1.0,0
2024-05-30,107360.86381460197,107309.425429094,109019.01547922188,106326.96418388496,163722.0,17504636000.0,290321.0,-0.572817339845857,0.04,up_trend,1.0,22.0,down_trend,19.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,0.007614481239986093,107247.92846949077,107454.764276477,-0.001924863996295656,138279.0,156040.6,-0.11382678610566743,7496.0,0.02650402192168302,0,0,0,0.0,0,1.0,0
2024-05-31,107415.06046271612,106385.67814739914,108479.57331975564,105692.24210558367,127926.0,13609549900.0,290748.0,-0.8210049408723694,0.04,up_trend,1.0,22.0,down_trend,19.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,-0.008608258575620087,106798.67247953526,107689.5577407579,-0.008272717243089311,133907.4,153196.8,-0.1259125516982078,5803.0,0.020365333660881925,0,0,0,0.0,0,1.0,0
