date,open,close,high,low,volume,total_turnover,open_interest,speculation,threshold,realtime_trend,realtime_position,realtime_segment_id,trend,segment_id,is_reversal_window,reversal_segment_id,reversal_trend,is_uptrend_reversal_window,is_downtrend_reversal_window,factor_id,factor_name,factor_value,daily_return,ret_5,close_rank_20,close_rank_60,price_ma_5,price_ma_10,price_ma_20,is_price_ma_bullish,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,oi_change_5,oi_change_5_rate,oi_change_5_rate_median_past,oi_change_5_rate_mad_past,oi_change_5_rate_mad_score,oi_change_5_rate_mad_abs_score,log_volume,log_volume_median_past,log_volume_mad_past,volume_mad_score,price_volume_oi_score,signal,position,position_scale,is_effective_signal
2025-10-14,72587.02824994612,72817.30063893492,74436.75727402422,72543.75059932348,435820.0,31894815480.0,665639.0,-0.4235181674716767,0.04,up_trend,1.0,48.0,up_trend,38.0,0,,,0,0,51,price_volume_up_oi_down,0.5105075811669424,0.004119777094183652,-0.013858813977109308,0.25,0.4166666666666667,72906.2064349247,73170.23809774822,72919.14513437536,0,676812.2,690707.7,0,-30147.0,-0.04332797728037069,-0.045622075087319164,0.0059397418110260815,0.2605075811669424,0.2605075811669424,12.984984593050912,13.124784727695477,0.13038449664728535,-0.7231987039528011,0.5105075811669424,0,1.0,1.0,0
2025-10-15,73067.43555965202,72976.96043622174,73865.9818364928,72832.54135014435,358650.0,26237018920.0,673419.0,-0.6300207387847092,0.04,up_trend,1.0,48.0,up_trend,38.0,0,,,0,0,51,price_volume_up_oi_down,5.026691092221036,0.0021926080187797403,0.0019409808020616204,0.55,0.5,72934.48093051146,73106.25450706133,72921.72790556545,0,676226.2,687607.6,0,-2930.0,-0.004332082992656158,-0.04366189066355479,0.005928284525944752,4.474750111418974,4.474750111418974,12.79010226155458,13.058384575291104,0.07889834411390595,-2.2935074693518938,5.026691092221036,0,1.0,1.0,0
2025-10-16,73095.43371227075,74995.10715339353,75053.88695063797,73031.24766298755,507153.0,37500137060.0,681313.0,-0.2952090855517831,0.0311623469343203,up_trend,1.0,48.0,up_trend,38.0,0,,,0,0,51,price_volume_up_oi_down,6.468255928937804,0.027654573513452352,0.021333309446595283,1.0,0.7,73247.77607384736,73318.01344977778,73130.13114436754,0,676907.2,684277.0,0,3405.0,0.0050228054544274444,-0.04158889139706334,0.007720996712246214,4.0719041826870574,4.0719041826870574,13.136568012196287,13.031181637067956,0.05169540589075794,1.375018436804151,6.468255928937804,0,1.0,1.0,0
2025-10-17,75060.94155251276,75753.86116644893,76830.50495073886,74886.42864203273,755131.0,57266505700.0,705766.0,0.0676075063376109,0.0311623469343203,up_trend,1.0,48.0,up_trend,38.0,0,,,0,0,51,price_volume_up_oi_down,10.259618261922574,0.010117380211264404,0.038706318814540897,1.0,0.7333333333333333,73812.35396244391,73496.73711066811,73358.78867190545,1,681721.2,683546.8,0,24070.0,0.03530899403839835,-0.039682333276293086,0.012687490759060149,3.9866793420783604,3.9866793420783604,13.534646523113828,13.034144240708612,0.07972735472640657,4.234232601029673,10.259618261922574,0,1.0,1.0,0
2025-10-20,76508.5044800564,75863.93064959011,76657.56991177541,75619.3038260488,400577.0,30467891720.0,706153.0,-0.5669259201909042,0.0311623469343203,up_trend,1.0,48.0,up_trend,38.0,0,,,0,0,51,price_volume_up_oi_down,6.8850410993746465,0.0014529884212679534,0.046131516342202694,1.0,0.7333333333333333,74481.43200891784,73796.15359738124,73587.97086785786,1,686458.0,684649.8,1,23684.0,0.03470340777383295,-0.039682333276293086,0.01306946514038685,3.8389095830324442,3.8389095830324442,12.900661286686434,13.071754657340875,0.11756915476186158,-0.9815576011174805,6.8850410993746465,0,1.0,1.0,0
2025-10-21,75799.73084965374,75890.41507819353,76256.60988975276,75287.90779764816,347988.0,26357308660.0,701145.0,-0.7005467165842276,0.0311623469343203,up_trend,1.0,48.0,up_trend,38.0,0,,,0,0,51,price_volume_up_oi_down,5.987537959100662,0.0003491043553458528,0.04220308103010684,1.0,0.7333333333333333,75096.05489676955,74001.13066584713,73742.51879556634,1,693559.2,685185.7,1,35506.0,0.05334122549910687,-0.0288594167865937,0.018824200282135578,2.9453348780705553,2.9453348780705553,12.759923275403446,12.995962947768188,0.11795336275492652,-1.3497417467425388,5.987537959100662,0,1.0,1.0,0
2025-10-22,75987.18252116714,77060.78790431879,77385.851122628,75612.40556535861,563416.0,43192986220.0,743009.0,-0.2766899036545154,0.0296812565449455,up_trend,1.0,48.0,up_trend,38.0,0,,,0,0,51,price_volume_up_oi_down,6.91957181259211,0.015421879362754298,0.0559605037492088,1.0,0.7666666666666667,75912.82039038898,74423.65066045024,73928.79557450215,1,707477.2,691851.7,1,69590.0,0.10333833764714093,-0.011268027763506692,0.032393862900048094,2.386283311860149,2.386283311860149,13.2417735330272,12.983421876330917,0.11795336275492652,1.4773279969827535,6.91957181259211,1,0.0,0.0,0
2025-10-23,77168.343357716,79720.24378879322,79738.82389870785,77038.45516159448,699824.0,54853905300.0,815542.0,-0.1530240480222876,0.0299841984451932,up_trend,1.0,48.0,up_trend,38.0,0,,,0,0,51,price_volume_up_oi_down,8.238025767915067,0.03451114317409387,0.06300593218348216,1.0,0.8666666666666667,76857.84771746892,75052.81189565815,74225.57222882318,1,734323.0,705615.1,1,134229.0,0.1970151751104118,0.00034536123088564326,0.03931848565938452,3.373781311839138,3.373781311839138,13.45858415384065,12.995962947768188,0.17323287532085363,1.801238523892448,8.238025767915067,1,0.0,0.0,0
2025-10-24,79445.50729018818,79399.00301292715,80746.89789944637,78746.40648979953,864433.0,68979370980.0,812167.0,0.0623678166338737,0.0332902975556482,up_trend,1.0,48.0,up_trend,38.0,0,,,0,0,51,price_volume_up_oi_down,8.089896862279296,-0.004029601022259133,0.0481182317356601,0.95,0.8333333333333334,77586.87608676456,75699.61502460424,74546.4951905609,1,755603.2,718662.2,1,106401.0,0.1507596002074342,0.019863106614130197,0.03577259901673205,2.468047550406129,2.468047550406129,13.669829079656168,12.995962947768188,0.17323287532085363,2.623731080137507,8.089896862279296,1,0.0,0.0,0
2025-10-27,79849.18173558591,81770.0015767604,81917.71339149898,79464.7064607086,697443.0,56483493000.0,862528.0,-0.2124468222205771,0.0332902975556482,up_trend,1.0,48.0,up_trend,38.0,1,38.0,up_trend,1,0,51,price_volume_up_oi_down,6.973324598050218,0.029861817829717863,0.07785084264154474,1.0,0.8833333333333333,78768.09027219862,76624.76114055824,74934.24037590931,1,786878.2,736668.1,1,156375.0,0.22144634378102196,0.03500620090611565,0.046274228669622344,2.7175418624609096,2.7175418624609096,13.455176068908253,13.0607763026236,0.22583563573630983,1.1779318929477636,6.973324598050218,1,0.0,0.0,1
2025-10-28,81517.20006143051,81468.53358311905,83367.60776617832,81050.7707452753,937954.0,77075457040.0,862606.0,0.0837428673871411,0.04,up_trend,1.0,48.0,up_trend,38.0,1,38.0,up_trend,1,0,51,price_volume_up_oi_down,6.712847835120256,-0.0036867798438081634,0.07350227955899458,0.95,0.8666666666666667,79883.71397318372,77489.88443497664,75330.06126636243,1,819170.4,756364.8,1,161461.0,0.230281896041475,0.04432510976875261,0.05383521031989855,2.3298159932140923,2.3298159932140923,13.75145618627411,13.189170772611742,0.27896143357710823,1.3595295623471693,6.712847835120256,1,0.0,0.0,1
2025-10-29,82052.35734934374,82742.55279509487,83084.4122148352,81181.9337122539,834935.0,68745920580.0,875981.0,-0.0479905236940014,0.04,up_trend,1.0,48.0,up_trend,38.0,1,38.0,up_trend,1,0,51,price_volume_up_oi_down,4.730233337619254,0.01563817532907974,0.07373094728580698,1.0,0.9166666666666666,81020.06695133893,78466.44367086396,75786.34908896264,1,845764.8,776621.0,1,132972.0,0.178964184821449,0.0783397815731239,0.07286839737650339,0.9314083006043806,0.9314083006043806,13.63510915649159,13.348474800967725,0.2666305337299404,0.7250940897290667,4.730233337619254,0,0.0,0.0,0
2025-10-30,82898.36299823949,83298.19290610154,84825.80145309381,82125.81992434026,1037085.0,86676699720.0,912869.0,0.1275767848062199,0.04,up_trend,1.0,48.0,up_trend,38.0,1,38.0,up_trend,1,0,51,price_volume_up_oi_down,4.352683819348677,0.006715288472941561,0.04488131178810195,1.0,0.9166666666666666,81735.65677480059,79296.75224613477,76307.38284795628,1,865230.2,799776.6,1,97327.0,0.11934026696356534,0.12704896892728756,0.08272385915853495,-0.06285306675650762,0.06285306675650762,13.851924451065651,13.456880111374453,0.2140277733144842,1.2449494408040667,4.352683819348677,0,0.0,0.0,0
2025-10-31,83648.61237951665,80702.71595711434,84346.29972383427,80201.29936025204,1119094.0,92101375820.0,883092.0,0.2368453229214352,0.04,up_trend,1.0,48.0,no_trend,,1,38.0,up_trend,1,0,51,price_volume_up_oi_down,4.624059467831216,-0.031158862616779248,0.016419764665998926,0.8,0.8,81996.39936363805,79791.6377252013,76644.18741793469,1,879415.2,817509.2,1,70925.0,0.08732809877771444,0.13504993358549977,0.07183697480565246,-0.44806921073581774,0.44806921073581774,13.92802998734058,13.49661533847724,0.2140272944878996,1.3595704924294005,4.624059467831216,0,0.0,0.0,0
