date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,ret_5,close_rank_20,close_rank_60,oi_ret_5,open_interest_mad_score,volume_mad_score,range_pct,range_mad_score,close_location,crowded_chase_score,signal,position,position_scale
2025-03-12,3294.739665060596,3267.991788211661,3296.834163040752,3261.463638989444,189089.0,6130728830.0,474927.0,-0.920943304321306,14,uptrend_crowded_chase,6.369228836891356,-0.008664179259599503,-0.024622040135827694,0.0,0.0,0.19270316268818277,5.47449339783454,1.0865065795433708,0.010823320970051743,0.7029642985702594,0.18456467347634933,6.369228836891356,0,1.0,1.0
2025-03-13,3268.40299236091,3240.5165551029195,3273.058624365293,3235.685549865789,256322.0,8221612230.0,501507.0,-0.6711830988340797,14,uptrend_crowded_chase,7.292057231491241,-0.008407375198386524,-0.030878237441523515,0.0,0.0,0.2278519607078735,6.311501433448597,1.2551988934391405,0.011533060814224632,0.7059127026461468,0.12926432469970972,7.292057231491241,0,1.0,1.0
2025-03-14,3237.2670499808805,3247.5303285884806,3251.466122249697,3226.653167622541,251580.0,8026576930.0,506865.0,-0.7004836655343741,14,uptrend_crowded_chase,2.696929532729629,0.0021643998314146984,-0.01902683580542397,0.05,0.016666666666666666,0.15699208896819705,2.2396544995087218,0.8145500664418155,0.007640561324008007,-0.6364764706598807,0.8413814992871134,2.696929532729629,0,1.0,1.0
2025-03-17,3253.375721606276,3243.585696365242,3263.335906457281,3238.20544958394,211590.0,6728086680.0,516568.0,-0.8925564953783885,14,uptrend_crowded_chase,1.035598352587044,-0.0012146560075247947,-0.015993597337158327,0.05,0.016666666666666666,0.11637400147719923,0.865354665139855,0.240487374894378,0.007747739454364332,-0.7478210974218406,0.21409267680322738,1.035598352587044,0,1.0,1.0
2025-03-18,3245.0799691774223,3234.8335091619974,3253.128813909135,3224.80620345625,179357.0,5653523790.0,528924.0,-1.0814665211937893,14,uptrend_crowded_chase,1.030529648790193,-0.002698306140963669,-0.018722646938315823,0.0,0.0,0.1373534401055494,1.030529648790193,-0.3082044391801762,0.008755507933458377,-0.033643792136542366,0.354038894911473,1.030529648790193,0,1.0,1.0
2025-03-19,3237.971216120785,3210.69249391126,3244.581427184942,3206.3422115666435,207196.0,6647303340.0,546090.0,-0.9691185921462384,14,uptrend_crowded_chase,1.8182834121093185,-0.007462830832672851,-0.01753348784629505,0.0,0.0,0.13962268931243038,1.3272033685478244,0.10646964372805108,0.011909958892299809,0.8756904433949374,0.11376494716943855,1.8182834121093185,0,1.0,1.0
2025-03-20,3207.850289102823,3232.997988845887,3237.426586806117,3185.4452434402465,312292.0,9838994640.0,538994.0,-0.5457657915551866,14,uptrend_crowded_chase,2.9908637205670683,0.006947253583744706,-0.002320175234159172,0.05,0.016666666666666666,0.07208687369142197,1.1504435069004229,1.5937481124910904,0.016078371698717574,1.9870923148422,0.9148040879001652,2.9908637205670683,0,1.0,1.0
2025-03-21,3232.6507943268457,3237.4530645020373,3255.166775432181,3220.6884429841434,269790.0,8573703420.0,537983.0,-0.690183082554996,14,uptrend_crowded_chase,1.2534348181443329,0.00137800136947841,-0.0031030546497847755,0.15,0.05,0.059582265204429774,0.6918047374180082,0.8232601614526495,0.010649832371651976,-0.1217716578975061,0.48623643684507645,1.2534348181443329,0,1.0,1.0
2025-03-24,3211.3603136103643,3230.3302618400344,3235.364684404295,3200.938187478509,233284.0,7409708710.0,559120.0,-0.8741075237191785,14,uptrend_crowded_chase,1.310639100822636,-0.0022001253825431055,-0.004086660802599229,0.05,0.016666666666666666,0.07915718390228754,1.1713528986008592,0.17857240444355307,0.010657268494329223,-0.028913529580965606,0.853763147173716,1.310639100822636,0,1.0,1.0
2025-03-25,3227.507445422513,3221.952493027403,3239.56985150774,3220.352619611183,188563.0,5887642790.0,578694.0,-1.1213416719032216,14,uptrend_crowded_chase,1.9513333302114206,-0.002593471296603367,-0.003981971899979286,0.05,0.016666666666666666,0.0899290862193105,1.9013333302114206,-0.7273164019138231,0.005964467799616864,-2.00525729931896,0.08325202218673987,1.9513333302114206,0,1.0,1.0
