date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position,position_scale
2018-11-06,4143.464917039227,4143.522818772783,4162.813220111073,4130.032869565218,91933.0,3853405910.0,105067.0,-0.1335381910307043,12,price_up_speculation_up,-0.5974631343025925,0.003377161622975855,4176.009060967464,4181.802358085353,4155.262107465372,0,110897.6,115172.1,0,-0.03105034607558455,0.11570103728857858,-0.5974631343025925,0,1.0,1.0
2018-11-07,4126.856757793765,4163.715457018549,4163.937923582213,4095.393157626516,112324.0,4695780350.0,105499.0,0.0626860779807898,12,price_up_speculation_up,0.5925813789912331,0.004873302049715145,4168.165491681364,4188.310557299585,4161.202804102256,0,108796.8,114648.3,0,-0.03105034607558455,0.10669311269893919,0.5925813789912331,0,1.0,1.0
2018-11-08,4159.129710076494,4184.723187836826,4190.798533172326,4139.347463937997,108830.0,4601592910.0,112076.0,-0.0293901808902023,12,price_up_speculation_up,-0.0035134083673162165,0.005045429024902459,4165.582362926906,4194.490799159513,4167.532662964773,0,108322.4,114499.2,0,-0.0288344186805247,0.1066931126989392,-0.0035134083673162165,0,1.0,1.0
2018-11-09,4187.516177503534,4207.699785789557,4226.261576001864,4173.223872906076,101495.0,4343058220.0,115774.0,-0.1316304787014648,12,price_up_speculation_up,-0.7465227943833658,0.0054905896809409604,4165.847564134981,4190.294718187766,4174.313907187165,0,109022.8,113327.8,0,-0.02166568945274515,0.0993542792980814,-0.7465227943833658,0,1.0,1.0
2018-11-12,4199.002518913491,4123.698715793108,4202.259023942663,4121.452008106952,106552.0,4498546080.0,110029.0,-0.0321108385113637,12,price_up_speculation_up,0.031243633693922915,-0.01996365574372516,4164.671993042165,4180.174478205628,4172.900319050615,0,109689.0,112167.0,0,-0.03655891011798185,0.0960254247481027,0.031243633693922915,0,1.0,1.0
2018-11-13,4119.263280825638,4125.045996269172,4141.653052060829,4101.9464912435415,80404.0,3379724490.0,115792.0,-0.3647315519326221,12,price_up_speculation_up,-2.4816451983360857,0.00032671651566196225,4160.976628541443,4168.4928447544535,4173.676858612679,0,111834.0,111365.8,1,-0.030750509700782996,0.09077330110488925,-2.4816451983360857,0,1.0,1.0
2018-11-14,4126.187793263748,4187.976998615962,4207.9956836824085,4100.15910020806,150077.0,6413384310.0,121384.0,0.2121894214961658,12,price_up_speculation_up,1.6865339886299902,0.015255830457092223,4165.828936860925,4166.997214271145,4173.079209517568,0,115011.0,111903.9,1,-0.030750509700782996,0.09715827834112731,1.6865339886299902,0,1.0,1.0
2018-11-15,4184.788218573636,4159.008392271864,4186.956651571019,4138.984260088929,91471.0,3900225280.0,115940.0,-0.2370508337568835,12,price_up_speculation_up,-1.3664188890682847,-0.006917088215544487,4160.685977747933,4163.134170337419,4172.0796266917405,0,115783.8,112053.1,1,-0.030750509700782996,0.10183382516530155,-1.3664188890682847,0,1.0,1.0
2018-11-16,4160.4806114101175,4153.597706753498,4192.708336175729,4133.623851071182,95045.0,4074207030.0,114859.0,-0.1893548254890457,12,price_up_speculation_up,-1.002662146651181,-0.0013009556625133145,4149.86556194072,4157.856563037851,4171.252296613782,0,115600.8,112311.8,1,-0.030750509700782996,0.10669311269893919,-1.002662146651181,0,1.0,1.0
2018-11-19,4133.768486114737,4127.892068479978,4165.204644903555,4111.879850088183,93265.0,3965266740.0,116472.0,-0.2222059972744987,12,price_up_speculation_up,-0.7511073627814008,-0.006188764557464088,4150.704232478094,4157.68811276013,4170.316011198472,0,116889.4,113289.2,1,-0.08187065860641425,0.12602045173491774,-0.7511073627814008,0,1.0,1.0
2018-11-20,4125.231495497344,4191.08657793819,4198.77000481642,4112.564304197331,134199.0,5753470560.0,132990.0,0.0090498355199178,12,price_up_speculation_up,0.9381061645851863,0.015309147722334382,4163.9123488118985,4162.4444886766705,4172.123423381012,0,120329.0,116081.5,1,-0.13258433486608456,0.10183382516530157,0.9381061645851863,0,1.0,1.0
2018-11-21,4157.728989994509,4060.413105041091,4222.918018151016,4055.653754527163,279225.0,11883716000.0,122533.0,0.8236375269653727,12,price_up_speculation_up,4.9290462624240305,-0.031178900857109948,4138.399570096924,4152.114253478924,4170.212405389254,0,120558.8,117784.9,1,-0.08187065860641425,0.12390975277535796,4.9290462624240305,0,1.0,1.0
2018-11-22,4045.479189686924,4052.624287824436,4073.000128943869,4036.692375690608,91547.0,3817902770.0,123214.0,-0.2970701794020284,12,price_up_speculation_up,-1.171417785674972,-0.0019182327056783688,4117.122749207439,4138.904363477685,4166.697581318598,0,122013.6,118898.7,1,-0.08187065860641425,0.12390975277535796,-1.171417785674972,0,1.0,1.0
