date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,is_down_day,price_down_ratio,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position,position_scale
2025-10-10,73241.47073365533,72930.97172346618,73953.37703438438,72735.39369318754,445495.0,32601094140.0,681696.0,-0.4253977871644677,32,price_down_speculation_up,-0.6923786142713487,-0.006777461373181803,1,0.5,-0.2597035828152122,0.16141343396278435,-0.6923786142713487,0,1.0,1.0
2025-10-13,72485.5632461628,72518.54041722041,73128.47540227865,72014.95473358425,434460.0,31460634540.0,682469.0,-0.4516132241533332,32,price_down_speculation_up,-0.7974200013384516,-0.00565509133498987,1,0.6,-0.35276227659039006,0.08361221261601398,-0.7974200013384516,0,1.0,1.0
2025-10-14,72587.02824994612,72817.30063893492,74436.75727402422,72543.75059932348,435820.0,31894815480.0,665639.0,-0.4235181674716767,32,price_down_speculation_up,-0.47781784349868117,0.004119777094183652,0,0.5,-0.3604384004918362,0.08904380720900062,-0.47781784349868117,0,1.0,1.0
2025-10-15,73067.43555965202,72976.96043622174,73865.9818364928,72832.54135014435,358650.0,26237018920.0,673419.0,-0.6300207387847092,32,price_down_speculation_up,-4.77031265921238,0.0021926080187797403,0,0.5,-0.4197515275288821,0.029730680171954682,-4.77031265921238,0,1.0,1.0
2025-10-16,73095.43371227075,74995.10715339353,75053.88695063797,73031.24766298755,507153.0,37500137060.0,681313.0,-0.2952090855517831,32,price_down_speculation_up,3.3772574120826166,0.027654573513452352,0,0.4,-0.4238005041701804,0.025681703530656408,3.3772574120826166,0,1.0,1.0
2025-10-17,75060.94155251276,75753.86116644893,76830.50495073886,74886.42864203273,755131.0,57266505700.0,705766.0,0.0676075063376109,32,price_down_speculation_up,4.203458653034613,0.010117380211264404,0,0.4,-0.4197515275288821,0.07820206930077506,4.203458653034613,0,1.0,1.0
2025-10-20,76508.5044800564,75863.93064959011,76657.56991177541,75619.3038260488,400577.0,30467891720.0,706153.0,-0.5669259201909042,32,price_down_speculation_up,-1.180936707029446,0.0014529884212679534,0,0.3,-0.35936362651172993,0.11854898596024671,-1.180936707029446,0,1.0,1.0
2025-10-21,75799.73084965374,75890.41507819353,76256.60988975276,75287.90779764816,347988.0,26357308660.0,701145.0,-0.7005467165842276,32,price_down_speculation_up,-1.3706865360548328,0.0003491043553458528,0,0.3,-0.4244579773180722,0.13585841731956053,-1.3706865360548328,0,1.0,1.0
2025-10-22,75987.18252116714,77060.78790431879,77385.851122628,75612.40556535861,563416.0,43192986220.0,743009.0,-0.2766899036545154,32,price_down_speculation_up,0.7927795679506772,0.015421879362754298,0,0.2,-0.43637448920640404,0.13585841731956053,0.7927795679506772,0,1.0,1.0
2025-10-23,77168.343357716,79720.24378879322,79738.82389870785,77038.45516159448,699824.0,54853905300.0,815542.0,-0.1530240480222876,32,price_down_speculation_up,1.261591716303241,0.03451114317409387,0,0.2,-0.4244579773180722,0.14511800826819438,1.261591716303241,0,1.0,1.0
2025-10-24,79445.50729018818,79399.00301292715,80746.89789944637,78746.40648979953,864433.0,68979370980.0,812167.0,0.0623678166338737,32,price_down_speculation_up,2.2627067681846422,-0.004029601022259133,1,0.2,-0.4244579773180722,0.14511800826819438,2.2627067681846422,0,1.0,1.0
2025-10-27,79849.18173558591,81770.0015767604,81917.71339149898,79464.7064607086,697443.0,56483493000.0,862528.0,-0.2124468222205771,32,price_down_speculation_up,0.4788285995745476,0.029861817829717863,0,0.1,-0.35936362651172993,0.20695093608430826,0.4788285995745476,0,1.0,1.0
2025-10-28,81517.20006143051,81468.53358311905,83367.60776617832,81050.7707452753,937954.0,77075457040.0,862606.0,0.0837428673871411,32,price_down_speculation_up,1.19152790430668,-0.0036867798438081634,1,0.2,-0.2859494946031492,0.2092725492281412,1.19152790430668,0,1.0,1.0
2025-10-29,82052.35734934374,82742.55279509487,83084.4122148352,81181.9337122539,834935.0,68745920580.0,875981.0,-0.0479905236940014,32,price_down_speculation_up,0.4283229064411731,0.01563817532907974,0,0.2,-0.24456836293754625,0.30955602442328856,0.4283229064411731,0,1.0,1.0
2025-10-30,82898.36299823949,83298.19290610154,84825.80145309381,82125.81992434026,1037085.0,86676699720.0,912869.0,0.1275767848062199,32,price_down_speculation_up,1.1020336291184638,0.006715288472941561,0,0.2,-0.18273543512143237,0.18992408159136853,1.1020336291184638,0,1.0,1.0
2025-10-31,83648.61237951665,80702.71595711434,84346.29972383427,80201.29936025204,1119094.0,92101375820.0,883092.0,0.2368453229214352,32,price_down_speculation_up,1.3217712983171237,-0.031158862616779248,1,0.3,-0.1005072858581445,0.17214870499606316,1.3217712983171237,0,1.0,1.0
2025-11-03,81151.1231462815,82198.87581014527,82752.20293625066,81008.98268696341,745234.0,61183535140.0,904776.0,-0.1939891362290626,32,price_down_speculation_up,-0.34987187247984614,0.018539151195679615,0,0.3,-0.1005072858581445,0.18021638552082825,-0.34987187247984614,0,1.0,1.0
2025-11-04,82519.24713724997,78692.84692417741,82807.97489575723,77659.92559185383,1232964.0,98034986460.0,826917.0,0.3994719784277493,32,price_down_speculation_up,1.9892270460767825,-0.0426530028715445,1,0.4,-0.1005072858581445,0.16952886014419455,1.9892270460767825,0,1.0,1.0
2025-11-05,78640.6837239459,79192.40572818888,79927.33356274104,78172.88566899083,657037.0,51938392260.0,827766.0,-0.2309901722587907,32,price_down_speculation_up,-0.8890627865104105,0.006348211095893008,0,0.4,0.007188646469936152,0.18069523859561126,-0.8890627865104105,0,1.0,1.0
2025-11-06,79512.30010349808,80510.1420147731,80919.95461318741,78748.63193195593,705444.0,56274716040.0,853714.0,-0.1907688512717061,32,price_down_speculation_up,-0.738926515347545,0.016639679960059217,0,0.4,0.007188646469936152,0.18069523859561126,-0.738926515347545,0,1.0,1.0
