date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position_scale,is_effective_signal
2024-12-27,75807.53043463978,up_trend,30.0,0,,31,price_up_speculation_up,-0.15250529090420314,-0.0116243478972472,76562.35359105107,76571.53859323938,77445.38852456266,0,365291.0,366175.0,375712.8,0,-0.7636437022623411,-0.7378883591737073,0.11390910320116149,-0.15250529090420314,0,1.0,0
2024-12-30,77402.32441373424,up_trend,30.0,0,,31,price_up_speculation_up,4.766744312634739,0.021037408420387482,76774.41961842559,76552.82379681066,77344.58467010052,0,374830.0,367684.8,372901.8,0,-0.0481767408481124,-0.7521813377989142,0.09961612457595465,4.766744312634739,0,1.0,0
2024-12-31,76258.52010231103,up_trend,30.0,0,,31,price_up_speculation_up,1.6265358088519684,-0.014777389698393262,76574.38066313618,76502.83934384992,77205.8136586796,0,376499.0,368983.8,371359.3,0,-0.5119568551259706,-0.7521813377989142,0.09961612457595465,1.6265358088519684,0,1.0,0
2025-01-02,77011.20558874552,up_trend,30.0,0,,31,price_up_speculation_up,0.9732742447519966,0.009870182183245424,76635.73761671437,76596.51732141062,77182.24346079148,0,363731.0,368338.2,368753.8,0,-0.528893034403922,-0.7280758855160923,0.13803611186170683,0.9732742447519966,0,1.0,0
2025-01-03,75787.7645076761,up_trend,30.0,0,,31,price_up_speculation_up,1.66135985220278,-0.015886533287153504,76453.46900942133,76610.63390704984,77081.35225324254,0,353761.0,366822.4,366746.2,1,-0.3825142659465788,-0.7280758855160923,0.14029357873265502,1.66135985220278,0,1.0,0
2025-01-06,77081.17974621737,up_trend,30.0,0,,31,price_up_speculation_up,2.931417617911999,0.017066280381053733,76708.19887173685,76635.27623139396,77031.76979559423,0,344074.0,362579.0,364377.0,0,0.0579550825931468,-0.6698796054117324,0.16746770179866666,2.931417617911999,0,1.0,0
2025-01-07,78238.59709504947,up_trend,30.0,0,,31,price_up_speculation_up,1.5983540679027737,0.015015563496080242,76875.4534079999,76824.93651321274,77031.591025129,0,369576.0,361528.2,364606.5,0,-0.1592220168160511,-0.6462683683331316,0.2055290940417372,1.5983540679027737,0,1.0,0
2025-01-08,76677.90832608871,up_trend,30.0,0,,31,price_up_speculation_up,0.2844837624288375,-0.01994781127101153,76959.33105275544,76766.85585794582,76950.86551452862,0,360037.0,358235.8,363609.8,0,-0.3858306149216363,-0.5204249447649463,0.31911357956598513,0.2844837624288375,0,1.0,0
2025-01-09,77701.35477379091,up_trend,30.0,0,,31,price_up_speculation_up,-0.37541172593093686,0.013347344366121394,77097.36088976452,76866.54925323944,76914.01298957842,0,358761.0,357241.8,362790.0,0,-0.6170998853201127,-0.4488937350238034,0.302210842723145,-0.37541172593093686,0,1.0,0
2025-01-10,77406.66711529455,up_trend,30.0,0,,31,price_up_speculation_up,-0.9058128058543456,-0.0037925678304358,77421.1414112882,76937.30521035477,76842.77479278817,1,356643.0,357818.2,362320.3,0,-0.7563491233906806,-0.4488937350238034,0.2289389342520308,-0.9058128058543456,0,1.0,0
2025-01-13,78216.98265171045,up_trend,30.0,0,,31,price_up_speculation_up,0.0634674362187999,0.010468291254666307,77648.30199238683,77178.25043206183,76874.89451265062,1,358825.0,360768.4,361673.7,0,-0.4273513091216917,-0.4488937350238034,0.2289389342520308,0.0634674362187999,0,1.0,0
2025-01-14,78628.28548595963,up_trend,30.0,0,,31,price_up_speculation_up,-0.23650783920606258,0.0052584850540788874,77726.23967056884,77300.84653928436,76926.83516804752,1,379157.0,362684.6,362106.4,1,-0.4649404711490107,-0.406590962021664,0.16640549784035336,-0.23650783920606258,0,1.0,0
