date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,ret_5,close_rank_20,close_rank_60,oi_ret_5,open_interest_mad_score,volume_mad_score,range_pct,range_mad_score,close_location,crowded_chase_score,signal,position,position_scale
2025-01-08,74669.63952564157,74919.55824393587,74956.76361714672,74355.50591498773,114911.0,42831823500.0,408755.0,-1.2689580388580768,14,uptrend_crowded_chase,1.5587192758053985,0.003294289809087525,0.02348074493653285,1.0,0.7333333333333333,0.0010696719672971255,0.4785324529573881,0.08781906920849979,0.008025377034409425,0.07255457648752119,0.9381207540838964,1.5587192758053985,0,1.0,1.0
2025-01-09,74928.13811595124,75195.66539114606,75370.16828996154,74752.31551907622,119025.0,44624609350.0,408722.0,-1.2337016632554918,14,uptrend_crowded_chase,1.0832041546535012,0.0036853814101678317,0.018513631984822032,1.0,0.7666666666666667,-0.014541851116261384,0.022251631357113305,0.0023221057631552153,0.008216600886120638,0.11958294082962057,0.7175655640980042,1.0832041546535012,0,1.0,1.0
2025-01-10,75196.00025445232,75531.00298776681,75544.5186712983,75018.4102108648,152489.0,57436028050.0,414691.0,-1.0004412022829898,14,uptrend_crowded_chase,2.1067963297464076,0.004459533603119681,0.02176157872789819,1.0,0.8166666666666667,0.0024191807834039736,0.8864656763085093,0.4406613068757967,0.006965463711884171,-0.22477585857904134,0.9743100813844583,2.1067963297464076,0,1.0,1.0
2025-01-11,75536.77383420938,75475.20535911444,75634.0290429043,75457.46947620006,11089.0,4193432950.0,416636.0,-3.6262593129485454,14,uptrend_crowded_chase,2.2164878019807555,-0.0007387380869471327,0.009832538005648761,0.95,0.8166666666666667,0.009174630672676543,1.2664878019807557,-5.836506985475303,0.0023393055489436274,-3.826305441498675,0.10045268713242819,2.2164878019807555,0,1.0,1.0
2025-01-13,75502.97795228753,75492.94654600749,75749.5682738541,75196.51303674588,139614.0,52690532850.0,418921.0,-1.0988008861598446,14,uptrend_crowded_chase,2.7513657764126993,0.000235059802866866,0.010972888332569264,0.95,0.8333333333333334,0.021186231359894947,1.6721306263808866,0.2584703000636259,0.007325919339645635,-0.0414292733817352,0.5359925905621586,2.7513657764126993,0,1.0,1.0
2025-01-14,75484.87927202764,75736.85446664724,75757.9884778099,75368.22022597573,98457.0,37151167750.0,415513.0,-1.4398939967715745,14,uptrend_crowded_chase,1.4667036892954646,0.003230870323641666,0.010908983473317813,1.0,0.8833333333333333,0.016397946858800694,0.4667036892954645,-0.9016752364946046,0.0051463485588222535,-2.0069449170415865,0.9457780076668717,1.4667036892954646,0,1.0,1.0
2025-01-15,75738.65388502784,75879.03057946808,76108.22641960265,75093.98030651097,158278.0,59740637500.0,420282.0,-0.9765729339393636,14,uptrend_crowded_chase,4.91632044745575,0.0018772381533673776,0.00908782686830878,1.0,0.9166666666666666,0.027890696205451704,2.1469651997184664,0.8054118369531398,0.013366619280005938,2.7332986585214263,0.7740234473899735,4.91632044745575,0,1.0,1.0
2025-01-16,75872.089439309,76439.80213132498,76535.8963364282,75809.36915882293,164333.0,62574337850.0,427809.0,-0.956781977320218,14,uptrend_crowded_chase,4.755651743819297,0.007390336270435061,0.012032133926585864,1.0,0.95,0.031143169713836016,2.776852880171977,0.9211752066251081,0.009504566434605387,1.0364225206695323,0.8677348789346636,4.755651743819297,0,1.0,1.0
2025-01-17,76446.8029901404,75770.85985259259,76665.2264093976,75605.58001041325,157863.0,60142811000.0,416804.0,-0.9708885190414906,14,uptrend_crowded_chase,3.1860059319654654,-0.008751229857753007,0.003917240000493205,0.9,0.9,0.00040314840246580275,0.2605674794744675,0.7408041116030967,0.013984880217089022,3.310072793378899,0.1559764109402526,3.1860059319654654,0,1.0,1.0
2025-01-18,75770.86115229772,75878.34922568257,75902.78874252358,75757.83444777937,3657.0,1385973550.0,417077.0,-4.736627717863601,14,uptrend_crowded_chase,1.0923763221065974,0.0014186109712770456,0.005105148193417008,0.9,0.9166666666666666,-0.004411500961863268,0.19237632210659736,-14.979976708540777,0.001910351190075006,-3.0247029502853175,0.8313984633284679,1.0923763221065974,0,1.0,1.0
