date,open,close,high,low,volume,total_turnover,open_interest,speculation
2022-06-15,70800.41926069101,70471.55102378647,70974.986226335,70414.49275546639,137549.0,48670949850.0,314128.0,-0.8258203288958428
2022-06-16,70471.55665557801,69296.53770491802,71009.1223255043,68997.30583012359,193658.0,67825567050.0,323300.0,-0.5124869679792088
2022-06-17,69296.52199736441,68653.2738313874,69659.94994018301,68339.28104062764,173284.0,59983744750.0,332146.0,-0.6506427642748642
2022-06-18,68657.11150668512,68459.22740494023,68777.33661948479,68423.42321576,9623.0,3304814200.0,331765.0,-3.5402708205860547
2022-06-20,68592.80492466998,68296.4562727243,68749.74490715162,67390.91473358306,221079.0,75243776550.0,336369.0,-0.41968866794742615
2022-06-21,68294.45276679253,68387.02793603062,68733.88396452041,67655.14348287329,154553.0,52762370550.0,331221.0,-0.7622487467146245
2022-06-22,68390.37770652949,66819.18487749436,68393.72806699754,66040.32449444183,239009.0,80220585400.0,341372.0,-0.3564715836392342
2022-06-23,66819.18900551011,64169.1386198598,67068.85629716462,64034.09759339623,336280.0,110351249950.0,358181.0,-0.0630942989599445
2022-06-24,64169.15822876664,63794.2199089317,64393.24653400933,61606.8051845859,440201.0,139695379050.0,356875.0,0.2098458603741906
2022-06-25,63804.049576353136,63388.434547151664,63834.11617619851,63296.57857419106,15393.0,4888696050.0,356753.0,-3.143130804943826
2022-06-27,63353.43482040209,63896.107521093945,64620.63111038442,63353.43482040209,218162.0,69825082500.0,349271.0,-0.47061021909819883
2022-06-28,63892.00890517846,64060.66066729024,64829.07975334439,63587.143701154375,219414.0,70519158250.0,344258.0,-0.45043102006663277
2022-06-29,64060.66332236316,64155.18293277363,64579.36259474905,62925.32582075959,266588.0,85160142250.0,348762.0,-0.26868534566700525
2022-06-30,64155.18332683441,62975.40746200273,64269.42899223115,62759.89481899842,206686.0,65716850350.0,351407.0,-0.5307443624905682
2022-07-01,62977.56913908076,61353.95574132732,63152.323645192606,60880.52186388499,310221.0,96065278150.0,367476.0,-0.16937306368770233
2022-07-02,61353.9530453572,61392.84599911692,61458.83277314357,61283.69255577923,5388.0,1654853150.0,366894.0,-4.22089871944964
2022-07-04,61377.24139340465,60776.19514791589,61398.8791125547,60425.65294506523,229769.0,70114975050.0,370109.0,-0.47672310044652155
2022-07-05,60776.19192093844,58701.08168601723,61383.47630716736,58307.863834984906,298712.0,89218010750.0,377078.0,-0.2329721640967746
2022-07-06,58698.77549126202,57455.04903289423,58915.62994602652,55514.17330833544,456520.0,131189294550.0,387393.0,0.16419282905489627
2022-07-07,57455.05287065594,59699.66381506158,60397.94284090513,57380.57300926631,380945.0,112508010550.0,367863.0,0.03494442150499097
2022-07-08,59699.65806807648,59152.17632066354,60085.93166088788,58661.45235111573,261248.0,77561162100.0,370382.0,-0.3490647577315591
2022-07-09,59152.15226860892,59141.793810971736,59234.647207141,59006.899688571226,6374.0,1886435050.0,369331.0,-4.059466044934488
2022-07-11,58859.16988286459,57741.9887420681,58863.05612276636,57451.95277622491,260697.0,75793275450.0,376801.0,-0.36835838323311687
2022-07-12,57741.99096631743,56221.25688325632,58546.36778707597,56124.60733518063,278530.0,79818647700.0,381905.0,-0.3156461130841888
2022-07-13,56223.15012608045,56021.21939882643,56551.118857017536,54647.21741833245,456206.0,127131274650.0,389405.0,0.1583245287673183
2022-07-14,56017.32992686104,54890.27307296125,56308.78832960765,54356.135849748425,358137.0,99114689550.0,390262.0,-0.08590271368129185
2022-07-15,54886.55662854962,55173.69459339668,55886.650049159405,53315.03300217315,435905.0,118865004650.0,390319.0,0.11045997619543275
2022-07-16,55173.70054210262,54964.44009391016,55182.81017185371,54866.80894558241,21341.0,5881007750.0,391012.0,-2.9081081449196713
2022-07-18,54866.16553350022,56937.71882735149,57212.351706294285,54729.37011457809,318955.0,89540149250.0,387840.0,-0.19554285643749145
2022-07-19,56934.82426805214,55835.123069088426,57057.94422660199,55139.195547925854,286846.0,80183057300.0,388806.0,-0.30413501818565514
2022-07-20,55835.12271461234,56631.10096220177,57150.14978936676,55810.84215994096,278980.0,79033188200.0,391394.0,-0.3385746305942862
2022-07-21,56631.09390370724,56190.71552816265,56684.14293456587,55530.912856995,260979.0,73165524100.0,397832.0,-0.42158986130241893
2022-07-22,56190.69999597776,57216.19512931738,57727.13163428216,55971.07296040623,328258.0,93437240550.0,410579.0,-0.22376847405670086
2022-07-23,57211.37668100277,57140.51924855364,57299.1355816291,57069.3722943723,13245.0,3795206000.0,409823.0,-3.4321052364448157
2022-07-25,57007.25769958455,57334.463191496114,57895.59052974659,56500.11839563631,249451.0,71397572150.0,409131.0,-0.49477289503994043
2022-07-26,57334.463120794455,57949.63268787976,58874.40158132709,57227.609201135485,287909.0,83950198450.0,420841.0,-0.3796106321532616
2022-07-27,57949.62411839629,58501.22588500816,58957.5139509778,57627.33761729857,270324.0,78772498650.0,426239.0,-0.4553789822392646
2022-07-28,58501.22704813031,59602.53979949326,59877.271791368265,58442.51280041674,270600.0,80529430950.0,420734.0,-0.44135908927902545
2022-07-29,59606.23528181433,60715.19272471386,60779.95474918118,59274.14025037585,250112.0,75026736200.0,417798.0,-0.5130892445913837
