date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,daily_return,is_up_day,price_up_ratio,speculation,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position_scale,is_effective_signal,open,base_position,reduce_signal,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2024-05-06,112887.53718943716,down_trend,17.0,1,16.0,31,price_up_speculation_up,-1.517277389283811,0.0029216110303217383,1,0.6,-0.7921743276892471,-0.4799104144415896,0.1388138553240681,-1.517277389283811,0,1.0,0,112558.68449525732,1.0,0.0,1.0,0.0029216110303217383,0.0029216110303217383,0.0687185077557112,0.016176209377445905,0.94895866661765,0.94895866661765,-0.9275853520568573,-0.9829537260720719
2024-05-07,114318.34383848505,down_trend,17.0,0,,31,price_up_speculation_up,-0.3801070471885993,0.008659797481511359,1,0.7,-0.5581385056570991,-0.4799104144415896,0.1388138553240681,-0.3801070471885993,0,1.0,0,113336.86950141432,1.0,0.0,1.0,0.008659797481511359,0.008659797481511359,0.07737830523722256,0.02483600685895726,0.94895866661765,0.94895866661765,-0.9184597728444589,-0.9738281468596734
2024-05-08,112538.33345414254,down_trend,17.0,0,,31,price_up_speculation_up,-1.6095940165110572,-0.0162958941265838,0,0.7,-0.8111735901045476,-0.4799104144415896,0.1388138553240681,-1.6095940165110572,0,1.0,0,114402.62654410844,1.0,0.0,1.0,-0.0162958941265838,-0.0162958941265838,0.061082411110638724,0.008540112732373428,0.94895866661765,0.94895866661765,-0.9356321689664806,-0.9910005429816952
2024-05-09,112270.01049632629,down_trend,17.0,0,,31,price_up_speculation_up,-0.3817445037540278,-0.006060314842673707,0,0.6,-0.6720581310624723,-0.5383264555690079,0.2362857316408845,-0.3817445037540278,0,1.0,0,112954.55063609374,1.0,0.0,1.0,-0.006060314842673707,-0.006060314842673707,0.05502209626796506,0.002479797889699764,0.94895866661765,0.94895866661765,-0.9420184480067199,-0.9973868220219344
2024-05-10,109118.61716716952,down_trend,17.0,1,17.0,31,price_up_speculation_up,0.7919136395506647,-0.029248476629576973,0,0.5,-0.2651155153015043,-0.5425365045280462,0.2362857316408845,0.7919136395506647,0,1.0,0,112406.33111582728,1.0,0.0,1.0,-0.029248476629576973,-0.029248476629576973,0.02577361963838809,-0.026768678739877316,0.94895866661765,0.94895866661765,-0.9728401030044308,-1.0282084770196454
2024-05-13,107885.71704728328,down_trend,17.0,1,17.0,31,price_up_speculation_up,-0.5767454067705012,-0.005316989779655812,0,0.4,-0.7208518623105886,-0.4955124155706425,0.2635294061938714,-0.5767454067705012,0,1.0,0,108462.4105757916,1.0,0.0,1.0,-0.005316989779655812,-0.005316989779655812,0.02045662985873231,-0.032085668519533206,0.94895866661765,0.94895866661765,-0.9784430759965075,-1.0338114500117221
2024-05-14,106029.6258325672,down_trend,17.0,1,17.0,31,price_up_speculation_up,1.460329100718583,-0.016056659007952397,0,0.4,-0.2055864805793865,-0.6150983183597857,0.1891436323101808,1.460329100718583,0,1.0,0,107759.88963517376,1.0,0.0,1.0,-0.016056659007952397,-0.016056659007952397,0.004399970850779922,-0.04814232752748571,0.94895866661765,0.94895866661765,-0.995363369337821,-1.0507317433530359
2024-05-15,103961.9134405348,up_trend,18.0,1,17.0,31,price_up_speculation_up,0.710570077930939,-0.018368852882827823,0,0.3,-0.3625535541535523,-0.6150983183597857,0.239721760177152,0.710570077930939,0,1.0,0,105907.30922286578,1.0,0.0,1.0,-0.018368852882827823,-0.018368852882827823,-0.013968882032047825,-0.06651118041031356,0.94895866661765,0.94895866661765,-1.0147202217793498,-1.0700885957945647
2024-05-16,105075.7146305242,up_trend,18.0,1,17.0,31,price_up_speculation_up,-1.3014333615200544,0.004240000122848372,1,0.3,-0.9574496213195955,-0.4603460299053257,0.257632690865601,-1.3014333615200544,0,1.0,0,104632.07462127612,1.0,0.0,1.0,0.004240000122848372,0.004240000122848372,-0.009728881909199405,-0.062271180287465144,0.94895866661765,0.94895866661765,-1.010252166138991,-1.0656205401542058
2024-05-17,107457.99077577224,up_trend,18.0,1,17.0,31,price_up_speculation_up,0.1775313304892999,0.016582659529017375,1,0.4,-0.5560581382329437,-0.6150983183597857,0.2243100179754976,0.1775313304892999,0,1.0,0,105705.11878055987,1.0,0.0,1.0,0.016582659529017375,0.016582659529017375,0.00685377761981798,-0.04568852075844787,0.94895866661765,0.94895866661765,-0.9927775804564315,-1.0481459544716467
2024-05-20,107028.24148611155,up_trend,18.0,0,,31,price_up_speculation_up,-0.229073112712537,-0.012290559137504126,0,0.3,-0.6784638458096975,-0.6150983183597857,0.1865756405371116,-0.229073112712537,0,1.0,0,108360.0470525537,1.0,0.0,1.0,-0.012290559137504126,-0.012290559137504126,-0.005436781517686118,-0.05797907989595208,0.94895866661765,0.94895866661765,-1.0057292079296396,-1.061097581944855
2024-05-21,107784.02408189964,up_trend,18.0,1,18.0,31,price_up_speculation_up,1.5583383023975763,0.00461689820197167,1,0.3,-0.2664268223760658,-0.6150983183597857,0.1509144078477824,1.5583383023975763,0,1.0,0,107288.68315355608,1.0,0.0,1.0,0.00461689820197167,0.00461689820197167,-0.0008198833157144758,-0.05336218169398044,0.94895866661765,0.94895866661765,-1.0008639821148764,-1.0562323561300915
2024-05-22,107605.50174858124,up_trend,18.0,1,18.0,31,price_up_speculation_up,-1.103376069105842,-0.0039779171270496036,0,0.3,-0.9809991229685386,-0.614058134647708,0.2243100179754976,-1.103376069105842,0,1.0,0,108035.25704791736,1.0,0.0,1.0,-0.0039779171270496036,-0.0039779171270496036,-0.004797800442764011,-0.05734009882102997,0.94895866661765,0.94895866661765,-1.0050558581859679,-1.060424232201183
2024-05-23,107398.06329002036,up_trend,18.0,1,18.0,31,price_up_speculation_up,-0.0841691757893826,0.006628975495521158,0,0.3,-0.6511764427566882,-0.614058134647708,0.2974480335830216,-0.0841691757893826,0,1.0,0,106690.81250830556,1.0,0.0,1.0,0.006628975495521158,0.006628975495521158,0.0018311750527570947,-0.05071112332550887,0.94895866661765,0.94895866661765,-0.9980703321259672,-1.0534387061411823
2024-05-24,108631.95809717664,down_trend,19.0,1,18.0,31,price_up_speculation_up,-0.0921118064886873,0.009432048967936008,1,0.4,-0.6431019228891484,-0.6036172904948159,0.2891271022300069,-0.0921118064886873,0,1.0,0,107616.91013104268,1.0,0.0,1.0,0.009432048967936008,0.009432048967936008,0.01126322402069313,-0.04127907435757283,0.94895866661765,0.94895866661765,-0.988130964585804,-1.0434993386010192
2024-05-27,107409.3226333718,down_trend,19.0,1,18.0,31,price_up_speculation_up,-0.7569556061552464,-0.012927482470056104,0,0.4,-0.8579374705496736,-0.6471391828229183,0.1878333366296702,-0.7569556061552464,0,1.0,0,108816.04008401888,1.0,0.0,1.0,-0.012927482470056104,-0.012927482470056104,-0.0016642584493629098,-0.05420655682762887,0.94895866661765,0.94895866661765,-1.0017537733811892,-1.0571221473964045
2024-05-28,106390.44154823724,down_trend,19.0,1,18.0,31,price_up_speculation_up,-0.2669990345794777,-0.018088794958987745,0,0.4,-0.7451887302525706,-0.6471391828229183,0.2476919581980606,-0.2669990345794777,0,1.0,0,108350.36915969764,1.0,0.0,1.0,-0.018088794958987745,-0.018088794958987745,-0.019753053408350763,-0.07229535178661672,0.94895866661765,0.94895866661765,-1.0208155045137595,-1.0761838785289746
2024-05-29,106498.4946395742,down_trend,19.0,0,,31,price_up_speculation_up,-1.1514949265103975,0.0022318747190576364,1,0.5,-0.9225053050497848,-0.6648201442831929,0.1509396661583649,-1.1514949265103975,0,1.0,0,106261.33265760232,1.0,0.0,1.0,0.0022318747190576364,0.0022318747190576364,-0.017521178689293038,-0.070063477067559,0.94895866661765,0.94895866661765,-1.0184635846698606,-1.0738319586850757
2024-05-30,107309.425429094,down_trend,19.0,0,,31,price_up_speculation_up,0.621177013448132,-0.0004791167254092915,1,0.5,-0.572817339845857,-0.7118262880311341,0.1509396661583649,0.621177013448132,0,1.0,0,107360.86381460197,1.0,0.0,1.0,-0.0004791167254092915,-0.0004791167254092915,-0.018000295414702272,-0.07054259379296823,0.94895866661765,0.94895866661765,-1.0189684714918725,-1.0743368455070876
2024-05-31,106385.67814739914,down_trend,19.0,0,,31,price_up_speculation_up,-1.0494389112671485,-0.009583221485727128,0,0.4,-0.8210049408723694,-0.6648201442831929,0.1003824052437925,-1.0494389112671485,0,1.0,0,107415.06046271612,1.0,0.0,1.0,-0.009583221485727128,-0.009583221485727128,-0.027583516900429483,-0.08012581527869544,0.94895866661765,0.94895866661765,-1.0290671426172278,-1.0844355166324429
2024-06-03,104232.8337393877,down_trend,19.0,0,,31,price_up_speculation_up,1.1467454377505968,-0.012372021069858902,0,0.4,-0.5008463782353193,-0.7118262880311341,0.1240938005132561,1.1467454377505968,0,1.0,0,105538.55901520638,1.0,0.0,1.0,-0.012372021069858902,-0.012372021069858902,-0.03995553797028828,-0.09249783634855424,0.94895866661765,0.94895866661765,-1.042104613589442,-1.0974729876046572
2024-06-04,103412.69271330288,down_trend,19.0,0,,31,price_up_speculation_up,-1.7524295213000034,-0.0063502553382494996,0,0.3,-1.0685753066008827,-0.6981825865046294,0.1425600653519083,-1.7524295213000034,0,1.0,0,104073.5865619386,1.0,0.0,1.0,-0.0063502553382494996,-0.0063502553382494996,-0.04630579330853779,-0.09884809168680375,0.94895866661765,0.94895866661765,-1.0487964280610709,-1.104164802076286
