date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,speculation_rank_history,signal,position,position_scale,daily_return,base_position,factor_position_source,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2025-01-10,77593.86113822047,77406.66711529455,77880.54600573082,76803.78312190284,167400.0,12990256880.0,356643.0,-0.7563491233906806,11,high_speculation,0.2,0.2,0,1.0,1.0,-0.0037925678304358,1.0,position,1.0,-0.0037925678304358,-0.0037925678304358,0.36148670986825143,0.41396662819916313,1.042570101565494,1.042570101565494,-0.6532734735770256,-0.6029364091895955
2025-01-13,78054.46672531203,78216.98265171045,78753.34599778778,77535.9869809462,234038.0,18369418940.0,358825.0,-0.4273513091216917,11,high_speculation,0.5,0.5,0,1.0,1.0,0.010468291254666307,1.0,position,1.0,0.010468291254666307,0.010468291254666307,0.36527085803184334,0.41830015143286414,1.042570101565494,1.042570101565494,-0.6496438393127111,-0.5987798318743686
2025-01-14,78326.29936888115,78628.28548595963,79418.73227209895,78029.5214201289,238176.0,18835140020.0,379157.0,-0.4649404711490107,11,high_speculation,0.4,0.4,0,1.0,1.0,0.0052584850540788874,1.0,position,1.0,0.0052584850540788874,0.0052584850540788874,0.36719162937949434,0.4204997765272928,1.042570101565494,1.042570101565494,-0.6478014966781325,-0.596670021616885
2025-01-15,78474.71743738798,79763.03859380224,80828.6889164735,78140.39280828611,379981.0,30394575360.0,409729.0,-0.0753747140775239,11,high_speculation,0.9,0.9,0,1.0,1.0,0.014431868898441724,1.0,position,1.0,0.014431868898441724,0.014431868898441724,0.3724908908353044,0.42656837417395876,1.042570101565494,1.042570101565494,-0.642718614051964,-0.5908492162460484
2025-01-16,80020.56166859069,79447.37810758078,80453.88785028529,78885.63659611714,205773.0,16405723860.0,401317.0,-0.6679780192402538,11,high_speculation,0.1,0.1,0,1.0,1.0,-0.003957478197752495,1.0,position,1.0,-0.003957478197752495,-0.003957478197752495,0.3710167662559623,0.4248802391333146,1.042570101565494,1.042570101565494,-0.6441325473473161,-0.5924684215523481
2025-01-17,80003.98963588163,80329.66888668691,80792.18741896632,79693.65648560072,280464.0,22583334620.0,412759.0,-0.3864185130490085,11,high_speculation,0.5,0.5,0,1.0,1.0,0.0111053479689589,1.0,position,1.0,0.0111053479689589,0.0111053479689589,0.37513703654755265,0.4295986820340245,1.042570101565494,1.042570101565494,-0.640180515454781,-0.5879426415653478
2025-01-20,80472.1532765247,80380.96737600217,81315.43929674051,79136.47732553637,284369.0,22845498760.0,416963.0,-0.3827247982638317,11,high_speculation,0.7,0.7,0,1.0,1.0,0.0006385995364630581,1.0,position,1.0,0.0006385995364630581,0.0006385995364630581,0.37537659888520203,0.4298730235532366,1.042570101565494,1.042570101565494,-0.6399507348987401,-0.5876795019272552
2025-01-21,80530.12651968842,78269.97830043916,80760.14653385538,77215.3983862042,366011.0,28952964760.0,405999.0,-0.1036873089499689,11,high_speculation,0.9,0.9,0,1.0,1.0,-0.026262299950787105,1.0,position,1.0,-0.026262299950787105,-0.026262299950787105,0.36551834605077255,0.4185835692679297,1.042570101565494,1.042570101565494,-0.6494064566958899,-0.5985079865234996
2025-01-22,78219.29972590032,78915.04334667012,79124.194192184,78196.16250582863,154161.0,12153465380.0,397147.0,-0.9463089783775692,11,high_speculation,0.0,0.0,0,1.0,1.0,0.00824153858526544,1.0,position,1.0,0.00824153858526544,0.00824153858526544,0.3685307796033724,0.42203334190520947,1.042570101565494,1.042570101565494,-0.6465170264810041,-0.5951990746027571
2025-01-23,78940.21197810049,79341.34431291292,79538.20817385727,78849.9847288937,149700.0,11877212800.0,393822.0,-0.9672657391407876,11,high_speculation,0.0,0.0,0,1.0,1.0,0.005402024102934,1.0,position,1.0,0.005402024102934,0.005402024102934,0.37052159175746285,0.4243131761904232,1.042570101565494,1.042570101565494,-0.6446075029380778,-0.5930123302468713
