date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_change,speculation_change_rate,speculation_change_rate_rank,speculation_fast_rise_signal,speculation_fast_drop_signal,signal_type,signal,position_scale,is_effective_signal,open,daily_return,base_position,reduce_signal,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2025-01-17,80329.66888668691,up_trend,30.0,1,30.0,21,speculation_change_rate,0.3251948512735767,-0.3864185130490085,0.2815595061912453,0.3251948512735767,0.8,0,0,none,0,1.0,0,80003.98963588163,0.004070787623061343,1.0,1.0,0.5,0.004070787623061343,0.0020353938115306716,-0.4845501666169474,-0.31742663789004166,0.94895866661765,0.94895866661765,-1.5106125099673915,-1.334499961965085
2025-01-20,80380.96737600217,down_trend,31.0,1,30.0,21,speculation_change_rate,0.0037005449566132,-0.3827247982638317,0.0036937147851767,0.0037005449566132,0.55,0,0,none,0,1.0,0,80472.1532765247,-0.0011331360826047096,1.0,1.0,0.5,-0.0011331360826047096,-0.0005665680413023548,-0.4856833026995522,-0.31799320593134395,0.94895866661765,0.94895866661765,-1.5118065936745815,-1.3350970038186798
2025-01-21,78269.97830043916,down_trend,31.0,1,30.0,21,speculation_change_rate,0.3218568984487975,-0.1036873089499689,0.2790374893138628,0.3218568984487975,0.75,0,0,none,0,1.0,0,80530.12651968842,-0.0280658719528608,1.0,1.0,0.5,-0.0280658719528608,-0.0140329359764304,-0.513749174652413,-0.33202614190777435,0.94895866661765,0.94895866661765,-1.541382035619693,-1.3498847247912356
2025-01-22,78915.04334667012,down_trend,31.0,1,30.0,21,speculation_change_rate,-0.5694197965417074,-0.9463089783775692,-0.8426216694276003,-0.5694197965417074,0.0,0,1,fast_drop,1,0.5,1,78219.29972590032,0.008894782019371966,1.0,0.0,1.0,0.008894782019371966,0.008894782019371966,-0.5048543926330411,-0.32313135988840247,0.94895866661765,0.94895866661765,-1.5320088328319728,-1.3405115220035153
2025-01-23,79341.34431291292,down_trend,31.0,0,,21,speculation_change_rate,-0.0207386938344678,-0.9672657391407876,-0.0209567607632183,-0.0207386938344678,0.5,0,0,none,0,1.0,0,78940.21197810049,0.005081470200811085,1.0,1.0,0.5,0.005081470200811085,0.0025407351004055425,-0.49977292243223004,-0.3205906247879968,0.94895866661765,0.94895866661765,-1.5266540472342789,-1.3378341292046683
2025-01-24,79363.83698994215,down_trend,31.0,0,,21,speculation_change_rate,-0.1627801298568789,-1.144934293786955,-0.1776685546461675,-0.1627801298568789,0.3,0,0,none,0,1.0,0,79266.52208330779,0.0012276923987163825,1.0,1.0,0.5,0.0012276923987163825,0.0006138461993581912,-0.4985452300335136,-0.3199767785886387,0.94895866661765,0.94895866661765,-1.5253603213409348,-1.3371872662579962
2025-01-27,79427.6032237804,down_trend,31.0,0,,21,speculation_change_rate,0.2887728772448681,-0.8912437860960658,0.2536905076908893,0.2887728772448681,0.7,0,0,none,0,1.0,0,79325.25055254588,0.00129029118120112,1.0,1.0,0.5,0.00129029118120112,0.00064514559060056,-0.4972549388523124,-0.31933163299803824,0.94895866661765,0.94895866661765,-1.5240006296846058,-1.336507420429832
2025-02-05,78024.63140996407,down_trend,31.0,0,,21,speculation_change_rate,0.1414180811855472,-0.7589723658661379,0.1322714202299278,0.1414180811855472,0.6,0,0,none,0,1.0,0,78749.01825110306,-0.009198677738802645,1.0,0.0,1.0,-0.009198677738802645,-0.009198677738802645,-0.5064536165911151,-0.3285303107368409,0.94895866661765,0.94895866661765,-1.5336940737326898,-1.346200864477916
2025-02-06,77450.23287346536,down_trend,31.0,0,,21,speculation_change_rate,-0.0128362878583078,-0.7718917507381416,-0.0129193848720037,-0.0128362878583078,0.55,0,0,none,0,1.0,0,78073.48103343182,-0.007982840674153875,1.0,0.0,1.0,-0.007982840674153875,-0.007982840674153875,-0.5144364572652689,-0.3365131514109947,0.94895866661765,0.94895866661765,-1.5421062848805227,-1.354613075625749
2025-02-07,77712.90959194045,down_trend,31.0,0,,21,speculation_change_rate,0.0023756561648431,-0.7695189119831563,0.0023728387549853,0.0023756561648431,0.55,0,0,none,0,1.0,0,77421.03422332511,0.0037699750661222865,1.0,0.0,1.0,0.0037699750661222865,0.0037699750661222865,-0.5106664821991467,-0.3327431763448725,0.94895866661765,0.94895866661765,-1.5381335353828451,-1.3506403261280713
