date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_first_diff,speculation_down_flag,speculation_down_days,speculation_down_streak,signal,position_scale,is_effective_signal,open,realtime_trend,realtime_position,realtime_segment_id,base_position,factor_position,daily_price_return,strategy_return,base_strategy_return,nav,base_nav,running_max,drawdown
2025-10-21,75890.41507819353,up_trend,38.0,0,,23,speculation_continuous_drop,3.0,-0.7005467165842276,-0.1336207963933234,1.0,3.0,2,0,1.0,0,75799.73084965374,up_trend,1.0,48.0,1.0,1.0,90.684228539787,90.684228539787,90.684228539787,45903.77482603844,52704.31918360448,90708.09774293537,44804.32291689693
2025-10-22,77060.78790431879,up_trend,38.0,0,,23,speculation_continuous_drop,2.0,-0.2766899036545154,0.4238568129297122,0.0,2.0,0,0,1.0,0,75987.18252116714,up_trend,1.0,48.0,1.0,1.0,1073.6053831516474,1073.6053831516474,1073.6053831516474,46977.38020919009,53777.924566756126,90708.09774293537,43730.71753374528
2025-10-23,79720.24378879322,up_trend,38.0,0,,23,speculation_continuous_drop,2.0,-0.1530240480222876,0.1236658556322277,0.0,2.0,0,0,1.0,0,77168.343357716,up_trend,1.0,48.0,1.0,1.0,2551.9004310772143,2551.9004310772143,2551.9004310772143,49529.2806402673,56329.82499783334,90708.09774293537,41178.817102668065
2025-10-24,79399.00301292715,up_trend,38.0,0,,23,speculation_continuous_drop,2.0,0.0623678166338737,0.2153918646561613,0.0,2.0,0,0,1.0,0,79445.50729018818,up_trend,1.0,48.0,1.0,1.0,-46.50427726103226,-46.50427726103226,-46.50427726103226,49482.77636300627,56283.32072057231,90708.09774293537,41225.3213799291
2025-10-27,81770.0015767604,up_trend,38.0,1,38.0,23,speculation_continuous_drop,2.0,-0.2124468222205771,-0.2748146388544508,1.0,2.0,1,0,1.0,0,79849.18173558591,up_trend,1.0,48.0,1.0,1.0,1920.819841174496,1920.819841174496,1920.819841174496,51403.596204180765,58204.140561746804,90708.09774293537,39304.5015387546
2025-10-28,81468.53358311905,up_trend,38.0,1,38.0,23,speculation_continuous_drop,1.0,0.0837428673871411,0.2961896896077182,0.0,1.0,0,0,1.0,0,81517.20006143051,up_trend,1.0,48.0,1.0,1.0,-48.66647831146838,-48.66647831146838,-48.66647831146838,51354.9297258693,58155.474083435336,90708.09774293537,39353.16801706607
2025-10-29,82742.55279509487,up_trend,38.0,1,38.0,23,speculation_continuous_drop,2.0,-0.0479905236940014,-0.1317333910811425,1.0,2.0,1,0,1.0,0,82052.35734934374,up_trend,1.0,48.0,1.0,1.0,690.195445751131,690.195445751131,690.195445751131,52045.12517162043,58845.66952918647,90708.09774293537,38662.97257131494
2025-10-30,83298.19290610154,up_trend,38.0,1,38.0,23,speculation_continuous_drop,2.0,0.1275767848062199,0.1755673085002213,0.0,2.0,0,0,1.0,0,82898.36299823949,up_trend,1.0,48.0,1.0,1.0,399.82990786204755,399.82990786204755,399.82990786204755,52444.955079482475,59245.499437048515,90708.09774293537,38263.14266345289
2025-10-31,80702.71595711434,no_trend,,1,38.0,23,speculation_continuous_drop,2.0,0.2368453229214352,0.1092685381152153,0.0,2.0,0,0,1.0,0,83648.61237951665,up_trend,1.0,48.0,1.0,1.0,-2945.8964224023075,-2945.8964224023075,-2945.8964224023075,49499.05865708017,56299.60301464621,90708.09774293537,41209.0390858552
2025-11-03,82198.87581014527,no_trend,,1,38.0,23,speculation_continuous_drop,2.0,-0.1939891362290626,-0.4308344591504978,1.0,2.0,1,0,1.0,0,81151.1231462815,up_trend,1.0,48.0,1.0,1.0,1047.7526638637646,1047.7526638637646,1047.7526638637646,50546.81132094393,57347.35567850997,90708.09774293537,40161.28642199143
2025-11-04,78692.84692417741,up_trend,39.0,0,,23,speculation_continuous_drop,2.0,0.3994719784277493,0.5934611146568118,0.0,2.0,0,0,1.0,0,82519.24713724997,down_trend,-1.0,49.0,1.0,1.0,-3826.4002130725567,-3826.4002130725567,-3826.4002130725567,46720.411107871376,53520.955465437415,90708.09774293537,43987.68663506399
2025-11-05,79192.40572818888,up_trend,39.0,0,,23,speculation_continuous_drop,2.0,-0.2309901722587907,-0.63046215068654,1.0,2.0,1,0,1.0,0,78640.6837239459,down_trend,-1.0,49.0,-1.0,-1.0,551.7220042429835,-551.7220042429835,-551.7220042429835,46168.68910362839,52969.23346119443,90708.09774293537,44539.408639306974
2025-11-06,80510.1420147731,up_trend,39.0,0,,23,speculation_continuous_drop,2.0,-0.1907688512717061,0.0402213209870846,0.0,2.0,0,0,1.0,0,79512.30010349808,down_trend,-1.0,49.0,-1.0,-1.0,997.8419112750125,-997.8419112750125,-997.8419112750125,45170.84719235338,51971.39154991942,90708.09774293537,45537.250550581986
2025-11-07,82428.04396778831,up_trend,39.0,0,,23,speculation_continuous_drop,2.0,0.1603884218280704,0.3511572730997765,0.0,2.0,0,0,1.0,0,79816.97242700114,up_trend,1.0,50.0,-1.0,-1.0,2611.0715407871758,-2611.0715407871758,-2611.0715407871758,42559.775651566204,49360.32000913224,90708.09774293537,48148.32209136916
