date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position,position_scale,base_position,factor_position_source,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2025-03-10,78294.24250374884,78021.0933132848,78493.4025199739,77912.10219668201,142525.0,55750245550.0,513421.0,-1.2815787484615877,12,price_up_speculation_up,-0.4871684837244967,-0.003515651502253414,78241.7423719692,77564.54642027013,77421.30091238527,1,515251.2,494768.0,1,-1.090733980837908,0.264226928786914,-0.4871684837244967,0,1.0,1.0,1.0,position,1.0,-0.003515651502253414,-0.003515651502253414,1.4080120804624638,1.5787949919071005,1.579839600581723,1.7653473118345266,-0.10876263644485773,-0.10567457104719147
2025-03-11,78018.60669451991,78416.4621809141,78469.75642784563,77188.43435518013,199821.0,77793243000.0,507191.0,-0.931465692689682,12,price_up_speculation_up,0.6530584941965147,0.005067461257454164,78381.32312605108,77705.74518198763,77477.42737265011,1,517991.4,498422.4,1,-1.1623820157801514,0.2384946027354256,0.6530584941965147,0,1.0,1.0,1.0,position,1.0,0.005067461257454164,0.005067461257454164,1.4151471271302347,1.5867954743620525,1.579839600581723,1.7653473118345266,-0.1042463256338465,-0.10114261158441695
2025-03-12,78417.37321319427,79461.54734485077,79737.12265938285,78276.47640018734,276581.0,109486093550.0,561814.0,-0.7086671086395662,12,price_up_speculation_up,1.0497650985283644,0.013327369468997041,78533.57741251828,77971.03866857909,77602.03548035702,1,525632.6,507306.5,1,-1.1544505881722753,0.2864229703320661,1.0497650985283644,1,0.0,0.0,1.0,position,1.0,0.013327369468997041,0.013327369468997041,1.434007315746489,1.607943283920608,1.579839600581723,1.7653473118345266,-0.09230828546235714,-0.08916320706906466
2025-03-13,79462.2075772274,79816.38230935548,80024.4384487481,79112.57621044245,234149.0,93168696350.0,576282.0,-0.900639459368578,12,price_up_speculation_up,0.4376207800804217,0.004465492761735135,78802.36823266695,78270.89414278383,77740.83761764636,1,536231.6,517678.0,1,-1.0787821579021004,0.2745655816588724,0.4376207800804217,0,1.0,1.0,1.0,position,0.0,0.004465492761735135,0.0,1.44041086503523,1.607943283920608,1.579839600581723,1.7653473118345266,-0.08825499468120246,-0.08916320706906466
2025-03-14,79812.92407615637,79642.67955507385,80280.86542009881,79470.3250893198,212477.0,85001880400.0,583108.0,-1.009538670695127,12,price_up_speculation_up,-0.3378888866333073,-0.0021762794711540634,79071.63294069581,78524.29120815826,77854.11069970948,1,548363.2,528438.6,1,-0.91605257602913,0.1866161021743578,-0.3378888866333073,0,1.0,1.0,1.0,position,1.0,-0.0021762794711540634,-0.0021762794711540634,1.4372761284396267,1.6044439499610315,1.579839600581723,1.7653473118345266,-0.09023920661920493,-0.0911454424830922
2025-03-15,79640.01385730407,79773.02595818516,79786.54395368414,79606.81549691453,6370.0,2543134550.0,582090.0,-4.515025605367219,12,price_up_speculation_up,-17.460343531109668,0.0016366401010048381,79422.01946967587,78831.88092082253,77954.65879151833,1,562097.0,538674.1,1,-0.91605257602913,0.1390278517462811,-17.460343531109668,0,1.0,1.0,1.0,position,1.0,0.0016366401010048381,0.0016366401010048381,1.439628432187648,1.6070698472693523,1.579839600581723,1.7653473118345266,-0.08875025562243588,-0.08965797466827896
2025-03-17,79864.34940444182,80151.43662197347,80345.05372278733,79679.30855214086,161751.0,64770264000.0,574584.0,-1.267588184957672,12,price_up_speculation_up,-1.7054677668532106,0.004743591699613692,79769.01435788775,79075.1687419694,78087.73826714589,1,575575.6,546783.5,1,-0.91605257602913,0.1390278517462811,-1.7054677668532106,0,1.0,1.0,1.0,position,1.0,0.004743591699613692,0.004743591699613692,1.4464574416691012,1.6146931304575587,1.579839600581723,1.7653473118345266,-0.0844276588987315,-0.08533968379310586
2025-03-18,80154.83723820101,80170.39290156202,80504.39410157438,79999.14548250659,159147.0,63950523450.0,569252.0,-1.2744949149234353,12,price_up_speculation_up,-0.8505576813517305,0.00023650579936540517,79910.78346923001,79222.18044087413,78218.45185797117,1,577063.2,551347.9,1,-0.9705021816924044,0.2410657078376323,-0.8505576813517305,0,1.0,1.0,1.0,position,1.0,0.00023650579936540517,0.00023650579936540517,1.4467995372425912,1.6150750147471074,1.579839600581723,1.7653473118345266,-0.08421112073032233,-0.08512336132387355
2025-03-19,80176.64786970722,80860.43607022277,81005.60520541779,80170.38904435908,185299.0,74822687250.0,581122.0,-1.14298998097423,12,price_up_speculation_up,-0.0134180835245504,0.008607207021026131,80119.59422140344,79460.9812270352,78398.45006343341,1,578031.2,557131.4,1,-1.1385634278263996,0.2225108517972696,-0.0134180835245504,0,1.0,1.0,1.0,position,1.0,0.008607207021026131,0.008607207021026131,1.459252440377563,1.6289762997535224,1.579839600581723,1.7653473118345266,-0.07632873625889469,-0.07724882869608762
2025-03-20,80860.43637921748,81092.57522467719,81518.87159074005,80829.77346634786,224797.0,91381225800.0,586842.0,-0.9595578456148524,12,price_up_speculation_up,0.7059314127344984,0.002870862015297737,80409.57335532412,79740.60314800995,78603.32185139813,1,578778.0,563570.6,1,-1.205289082965951,0.2347869012735465,0.7059314127344984,0,1.0,1.0,1.0,position,1.0,0.002870862015297737,0.002870862015297737,1.4634417527793735,1.633652865936305,1.579839600581723,1.7653473118345266,-0.07367700351319839,-0.07459973740881987
