date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,is_up_day,price_up_ratio,log_open_interest,delta_log_open_interest,oi_change_rate,log_open_interest_median_past,log_open_interest_mad_past,log_open_interest_mad_score,signal,position,position_scale,base_position,factor_position_source,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2023-08-09,212008.11296035716,212657.0317916213,212967.01628825272,210115.7397790577,27109.0,5848135400.0,20194.0,0.2944802454904577,42,price_up_oi_down,4.02860383658801,0.004809469163191693,1,0.6,9.913140809564268,-0.0124506418787877,-1.237345331833506,9.65985426241032,0.0424066109456529,4.02860383658801,0,1.0,1.0,1.0,position,1.0,0.004809469163191693,0.004809469163191693,0.9931016747976252,0.9931016747976252,1.042570101565494,1.042570101565494,-0.04744853769889279,-0.04744853769889279
2023-08-10,212438.06638306292,206395.3513174404,213774.85902255643,206058.0403470176,33810.0,7225699650.0,23910.0,0.3464598352495612,42,price_up_oi_down,6.438484286418536,-0.02944497259943235,0,0.6,10.082052060452371,0.1689112508881045,18.40150539764291,9.677251409914078,0.0424066109456529,6.438484286418536,0,1.0,1.0,1.0,position,1.0,-0.02944497259943235,-0.02944497259943235,0.9638598231947588,0.9638598231947588,1.042570101565494,1.042570101565494,-0.07549638940589798,-0.07549638940589798
2023-08-11,205989.2162957437,204917.29295378117,207536.06028642133,201759.6668937574,54389.0,11286591550.0,25574.0,0.7545857171442018,42,price_up_oi_down,3.9710815485915822,-0.007161296774489512,0,0.5,10.149331489371114,0.0672794289187432,6.959431200334598,9.701105488110358,0.0761314750919863,3.9710815485915822,0,1.0,1.0,1.0,position,1.0,-0.007161296774489512,-0.007161296774489512,0.9569573369518541,0.9569573369518541,1.042570101565494,1.042570101565494,-0.08211703413044946,-0.08211703413044946
2023-08-14,203604.56147745124,193643.2345381271,203820.76516341625,193614.2972741408,54541.0,10955650500.0,31513.0,0.5485525533084864,42,price_up_oi_down,3.442975354330677,-0.05501760370315323,0,0.4,10.358155438089856,0.2088239487187415,23.222804410729548,9.769658651009449,0.115288552491612,3.442975354330677,0,1.0,1.0,1.0,position,1.0,-0.05501760370315323,-0.05501760370315323,0.9043078374266121,0.9043078374266121,1.042570101565494,1.042570101565494,-0.13261675539253537,-0.13261675539253537
2023-08-15,193145.9369895716,189680.8139697453,194448.04466641537,189053.5795148248,86930.0,16815971400.0,35763.0,0.8881893576869988,42,price_up_oi_down,2.131701686836448,-0.020462478732256484,0,0.3,10.484669118386112,0.1265136802962558,13.486497635896356,9.872431897935542,0.1937176999718675,2.131701686836448,0,1.0,1.0,1.0,position,1.0,-0.020462478732256484,-0.020462478732256484,0.8858034575358572,0.8858034575358572,1.042570101565494,1.042570101565494,-0.15036556658803124,-0.15036556658803124
2023-08-16,189012.4814493322,191747.30923578836,195997.35098396087,187185.7054853975,81487.0,15980989350.0,34637.0,0.8555210234584508,42,price_up_oi_down,1.648092656192005,0.010894592989107776,1,0.3,10.452677753845103,-0.0319913645410085,-3.14850543858185,9.91936613050366,0.2182606423933037,1.648092656192005,0,1.0,1.0,1.0,position,1.0,0.010894592989107776,0.010894592989107776,0.8954539256740548,0.8954539256740548,1.042570101565494,1.042570101565494,-0.14110914524647666,-0.14110914524647666
2023-08-17,191672.6065578457,189797.6065547304,194125.068112158,188373.1489812119,72090.0,13960673750.0,37164.0,0.6625747876374212,42,price_up_oi_down,1.4957333458415631,-0.010168083655664018,0,0.2,10.523095829761203,0.0704180759161001,7.295666483817942,10.003821755947712,0.2341631049382639,1.4957333458415631,0,1.0,1.0,1.0,position,1.0,-0.010168083655664018,-0.010168083655664018,0.8863488752480082,0.8863488752480082,1.042570101565494,1.042570101565494,-0.14984241930869535,-0.14984241930869535
2023-08-18,190896.2310327949,191523.40382269217,193375.585044504,190560.69762424837,44755.0,8756758650.0,34426.0,0.2623910774735881,42,price_up_oi_down,0.8478676871161106,0.009092829458121399,1,0.3,10.446567371831453,-0.0765284579297524,-7.367344742223714,10.115691774911742,0.2632162258915196,0.8478676871161106,0,1.0,1.0,1.0,position,1.0,0.009092829458121399,0.009092829458121399,0.8944082944110361,0.8944082944110361,1.042570101565494,1.042570101565494,-0.14211208141494014,-0.14211208141494014
2023-08-21,193690.5635572176,197116.13041744623,199491.0705461733,191875.51058837163,62490.0,12435880500.0,32603.0,0.6506022352624492,42,price_up_oi_down,0.4343758830708912,0.02920126983505189,1,0.4,10.39215958766068,-0.0544077841707721,-5.295416255155905,10.253743463730483,0.2149299723851223,0.4343758830708912,0,1.0,1.0,1.0,position,1.0,0.02920126983505189,0.02920126983505189,0.9205261523588413,0.9205261523588413,1.042570101565494,1.042570101565494,-0.11706066481610677,-0.11706066481610677
2023-08-22,197312.7926191132,194571.815011419,200328.136276799,193275.62923666372,57805.0,11527571750.0,32402.0,0.5788551278390585,42,price_up_oi_down,0.0566835204518584,-0.012907697612767444,0,0.4,10.385975428270363,-0.0061841593903153,-0.6165076833421046,10.375157512875267,0.1287249611983902,0.0566835204518584,0,1.0,1.0,1.0,position,1.0,-0.012907697612767444,-0.012907697612767444,0.908644279139549,0.908644279139549,1.042570101565494,1.042570101565494,-0.12845737876507846,-0.12845737876507846
