date,open,close,high,low,volume,total_turnover,open_interest,speculation,threshold,realtime_trend,realtime_position,realtime_segment_id,trend,segment_id,is_reversal_window,reversal_segment_id,reversal_trend,is_uptrend_reversal_window,is_downtrend_reversal_window,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_5_prev,price_ma_5_change,volume_ma_5,volume_ma_5_prev,volume_ma_5_change,oi_change_5,oi_change_5_rate,is_price_ma_5_up,is_volume_ma_5_up,is_oi_down_5,price_volume_oi_short_score,signal,position_scale,is_effective_signal,base_position,reduce_signal,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2024-11-27,79618.78423123529,79372.12796872055,79973.9106951816,79091.95591188161,255163.0,20155993950.0,472131.0,-0.6153539328173045,0.04,down_trend,-1.0,37.0,down_trend,29.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.055722891566265,-0.003097965698626789,80428.27702368348,81484.07957072594,-0.0129571635662406,393689.2,689563.6,-0.4290748525589227,-27861.0,-0.055722891566265,0,0,1,0.055722891566265,0,1.0,0,1.0,1.0,-1.0,-0.003097965698626789,0.003097965698626789,-0.46473037882283275,-0.513320174973867,0.94895866661765,0.94895866661765,-1.4897266816470096,-1.540929961473961
2024-11-28,79148.47925699748,79245.5717853403,79813.23725507078,77781.41279461562,369673.0,28953510450.0,468891.0,-0.2377515009660253,0.04,down_trend,-1.0,37.0,down_trend,29.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0549296172079073,0.0012267137569069392,79793.97672694136,81721.4974346449,-0.0235864584988183,368927.2,580002.4,-0.3639212527396438,-27253.0,-0.0549296172079073,0,0,1,0.0549296172079073,0,1.0,0,1.0,0.0,1.0,0.0012267137569069392,0.0012267137569069392,-0.4635036650659259,-0.5120934612169601,0.94895866661765,0.94895866661765,-1.4884339870333663,-1.5396372668603178
2024-11-29,79236.59777760238,79659.99598412053,80611.99742106118,78778.80372378384,353805.0,28037669850.0,478102.0,-0.3010781849446262,0.04,down_trend,-1.0,37.0,down_trend,29.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0183073315565338,0.0053434677711241794,79723.34051809258,81951.78291757275,-0.0271921161461679,346680.4,543415.0,-0.3620338047348711,-8916.0,-0.0183073315565338,0,0,1,0.0183073315565338,0,1.0,0,1.0,0.0,1.0,0.0053434677711241794,0.0053434677711241794,-0.45816019729480173,-0.5067499934458359,0.94895866661765,0.94895866661765,-1.482803111886644,-1.5340063917135953
2024-12-02,79461.7959033618,79418.401502977,80378.89311953113,78981.79147965535,246458.0,19504818850.0,476654.0,-0.6595992672362233,0.04,down_trend,-1.0,37.0,down_trend,29.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0130038473166105,-0.0005461039470788639,79417.68235836006,81878.35232028611,-0.0300527537767316,323829.6,518873.6,-0.3758988701679947,-6280.0,-0.0130038473166105,0,0,1,0.0130038473166105,0,1.0,0,1.0,0.0,1.0,-0.0005461039470788639,-0.0005461039470788639,-0.4587063012418806,-0.5072960973929148,0.94895866661765,0.94895866661765,-1.4833785889503872,-1.5345818687773387
2024-12-03,79749.15227497423,79033.94033072949,80386.04510777367,78660.35438077172,266109.0,20972816350.0,469689.0,-0.5681647742717948,0.04,down_trend,-1.0,37.0,down_trend,29.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.026123395149786,-0.008968270180210828,79346.00751437758,81167.78135281813,-0.0224445439813331,298241.6,466187.6,-0.3602541122929911,-12599.0,-0.026123395149786,0,0,1,0.026123395149786,0,1.0,0,1.0,0.0,1.0,-0.008968270180210828,-0.008968270180210828,-0.46767457142209135,-0.5162643675731255,0.94895866661765,0.94895866661765,-1.492829232582924,-1.5440325124098755
2024-12-04,79242.49963806993,77482.60954650804,79994.3573074601,77443.62006384745,325860.0,25395776000.0,457340.0,-0.3389592554961398,0.04,down_trend,-1.0,37.0,down_trend,29.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0313281695122752,-0.02220891692715351,78968.10382993508,80428.27702368348,-0.0181549729496061,312381.0,393689.2,-0.2065289065587778,-14791.0,-0.0313281695122752,0,0,1,0.0313281695122752,0,1.0,0,1.0,0.0,1.0,-0.02220891692715351,-0.02220891692715351,-0.4898834883492449,-0.5384732845002791,0.94895866661765,0.94895866661765,-1.516232693353573,-1.5674359731805243
2024-12-05,77678.91888514484,77805.58865865498,78131.72903912343,77151.9898805175,210028.0,16160014000.0,448095.0,-0.7577644083435299,0.04,down_trend,-1.0,37.0,down_trend,29.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0443514590811084,0.0016306840430854329,78680.107204598,79793.97672694136,-0.0139593183349548,280452.0,368927.2,-0.2398175032906221,-20796.0,-0.0443514590811084,0,0,1,0.0443514590811084,0,1.0,0,1.0,0.0,1.0,0.0016306840430854329,0.0016306840430854329,-0.48825280430615936,-0.5368426004571936,0.94895866661765,0.94895866661765,-1.5145143002344104,-1.5657175800613619
2024-12-06,77871.16389834971,78072.82889918346,78706.51321190072,77206.1162154237,240926.0,18619034850.0,441009.0,-0.6045754510038351,0.04,down_trend,-1.0,37.0,down_trend,29.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0775838628577165,0.002589726295821031,78362.67378761058,79723.34051809258,-0.0170673572085606,257876.2,346680.4,-0.2561558138273753,-37093.0,-0.0775838628577165,0,0,1,0.0775838628577165,0,1.0,0,1.0,0.0,1.0,0.002589726295821031,0.002589726295821031,-0.48566307801033837,-0.5342528741613726,0.94895866661765,0.94895866661765,-1.5117852811665395,-1.5629885609934908
2024-12-09,77839.53711776475,78242.17250435396,78545.45830573882,76709.30474652123,243646.0,18768154700.0,431792.0,-0.5722276386500319,0.04,down_trend,-1.0,37.0,down_trend,29.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0941185849693908,0.005172633362144256,78127.42798788598,79417.68235836006,-0.0162464369666696,257313.8,323829.6,-0.2054037061466894,-44862.0,-0.0941185849693908,0,0,1,0.0941185849693908,0,1.0,0,1.0,0.0,1.0,0.005172633362144256,0.005172633362144256,-0.4804904446481941,-0.5290802407992283,0.94895866661765,0.94895866661765,-1.5063344290439904,-1.5575377088709417
2024-12-10,79612.14978907388,78292.41853809658,80250.57394787893,77919.35367427833,328380.0,25779484050.0,431889.0,-0.2739971363999046,0.04,down_trend,-1.0,37.0,down_trend,29.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0804787848980921,-0.016577008088260747,77979.1236293594,79346.00751437758,-0.0172268766613178,269768.0,298241.6,-0.0954715908176457,-37800.0,-0.0804787848980921,0,0,1,0.0804787848980921,0,1.0,0,1.0,0.0,1.0,-0.016577008088260747,-0.016577008088260747,-0.4970674527364549,-0.5456572488874891,0.94895866661765,0.94895866661765,-1.5238030593135738,-1.5750063391405251
