date,open,close,high,low,volume,total_turnover,open_interest,speculation,threshold,realtime_trend,realtime_position,realtime_segment_id,trend,segment_id,is_reversal_window,reversal_segment_id,reversal_trend,is_uptrend_reversal_window,is_downtrend_reversal_window,factor_id,factor_name,factor_value,ret_3,ret_5,realtime_trend_age,close_rank_20,close_rank_60,oi_ret_3,volume_mad_score,close_location,volume_to_open_interest,price_efficiency_5,price_efficiency_low_rank_20,push_failure_score,signal,position_scale,is_effective_signal,daily_return,base_position,reduce_signal,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2025-11-19,93904.93402428048,99785.99208447618,100360.31266527312,93829.16801206728,2425955.0,238463478400.0,1093042.0,0.7972606264922603,0.04,up_trend,1.0,50.0,up_trend,39.0,1,39.0,up_trend,1,0,45,uptrend_push_failure,2.848350558019052,0.1400875310388747,0.1519270496979152,9,1.0,1.0,0.0643559281742849,2.2909484515396104,0.9120643300229112,2.2194526834284503,0.0684524841787703,0.25,2.848350558019052,0,1.0,0,0.06364602305069877,1.0,0.0,1.0,0.06364602305069877,0.06364602305069877,0.4659974562117466,0.49420712314411225,1.042570101565494,1.042570101565494,-0.55303009791666,-0.5259722848353078
2025-11-20,99712.76361093718,99487.06486152818,102960.57210973871,98277.25509880828,2503762.0,251179898600.0,1077295.0,0.8433411311226615,0.04,up_trend,1.0,50.0,no_trend,,1,39.0,up_trend,1,0,45,uptrend_push_failure,3.3532557757350774,0.0432494037685124,0.1320104600403095,10,0.95,0.9833333333333332,-0.0376854221567253,1.5206469141468062,0.2583232695750291,2.3241192059742226,0.0568002104629454,0.4499999999999999,3.3532557757350774,0,1.0,0,-0.002995683228713464,1.0,0.0,1.0,-0.002995683228713464,-0.002995683228713464,0.4646014754475499,0.4927266351537987,1.042570101565494,1.042570101565494,-0.5543690781560708,-0.5273923217115719
2025-11-21,95243.787035506,91473.83576451118,96545.82633711142,91466.69468483004,2106084.0,197017225480.0,998213.0,0.7466188975454795,0.04,down_trend,-1.0,51.0,no_trend,,1,39.0,up_trend,1,0,45,uptrend_push_failure,2.8985757233843814,-0.0249555113733092,0.045118431885003,1,0.8,0.9333333333333332,-0.0238357638479094,0.9999267522362332,0.0014059646746766,2.109854309651347,0.0213846196292382,0.85,2.8985757233843814,0,1.0,0,-0.08054543681804538,1.0,0.0,1.0,-0.08054543681804538,-0.08054543681804538,0.42717994666131864,0.45303975309345035,1.042570101565494,1.042570101565494,-0.5902626154156183,-0.5654587136028757
2025-11-24,91422.30929616808,91310.30934205856,93560.78229623068,90743.56703305389,971940.0,89390422140.0,977397.0,-0.0055988413035321,0.04,down_trend,-1.0,51.0,no_trend,,0,,,0,0,45,uptrend_push_failure,2.1488288944716283,-0.0849386027574123,-0.0424943593259227,2,0.75,0.9166666666666666,-0.111826998324128,-1.4384448043368387,0.2011711055283719,0.9944168029981676,0.0427329457806849,0.6,2.1488288944716283,0,1.0,0,-0.0017876852007562283,1.0,0.0,1.0,-0.0017876852007562283,-0.0017876852007562283,0.4264162833926124,0.45222986063149095,1.042570101565494,1.042570101565494,-0.5909950968742363,-0.5662355366296854
2025-11-25,91784.2692629965,96559.5923121724,96758.7893974076,91571.97955918236,1264789.0,119095703640.0,1033634.0,0.2018245616060854,0.04,up_trend,1.0,52.0,down_trend,40.0,0,,,0,0,45,uptrend_push_failure,1.8054090040818789,-0.0294256600436488,0.0292549505675252,1,0.9,0.9666666666666668,-0.0413725214325051,-0.5287955461150895,0.9615954524171731,1.2236333170155007,0.0239082657857661,0.75,1.8054090040818789,0,1.0,0,0.05748839323771682,1.0,0.0,1.0,0.05748839323771682,0.05748839323771682,0.4509302703752526,0.478227828693312,1.042570101565494,1.042570101565494,-0.5674820621671883,-0.5412991145869055
2025-11-26,96939.3153038987,95686.16019824593,99060.80615547638,94666.29471466424,1354151.0,131201263500.0,1055255.0,0.2493922458071137,0.04,up_trend,1.0,52.0,down_trend,40.0,0,,,0,0,45,uptrend_push_failure,2.6178837356773523,0.0460495003683774,-0.0410862466823944,2,0.85,0.95,0.0555710424721755,-0.4694239270278154,0.2320771028401748,1.28324528194607,0.0320174539197107,0.7,2.6178837356773523,0,1.0,0,-0.009045524043874598,1.0,0.0,1.0,-0.009045524043874598,-0.009045524043874598,0.44685136977246237,0.4739020073704167,1.042570101565494,1.042570101565494,-0.571394413573262,-0.5454483044748561
2025-11-27,95885.84905214592,95245.89217620356,97876.90625824616,94877.20522677424,1092456.0,105500093340.0,1066017.0,0.0244990994933621,0.04,up_trend,1.0,52.0,down_trend,40.0,0,,,0,0,45,uptrend_push_failure,2.5302509301673775,0.0431011882722012,-0.0426303931192233,3,0.75,0.9166666666666666,0.0867916366021628,-1.014673036858488,0.1229078983409255,1.0248016682660783,0.0415986765432888,0.55,2.5302509301673775,0,1.0,0,-0.004601167202552658,1.0,0.0,1.0,-0.004601167202552658,-0.004601167202552658,0.44479533190544956,0.4717215049968801,1.042570101565494,1.042570101565494,-0.5733664995403596,-0.5475397728281712
2025-11-28,94231.2558839615,95819.86815120305,96896.36948594336,93419.24025260718,841418.0,80778102080.0,1070772.0,-0.2410465987862632,0.04,up_trend,1.0,52.0,down_trend,40.0,0,,,0,0,45,uptrend_push_failure,1.7306908387305926,-0.0076608045172547,0.0475112074438446,4,0.85,0.95,0.0352991354062659,-1.2986413705809878,0.6904051409940116,0.7858050079755541,0.0604618282673539,0.25,1.7306908387305926,0,1.0,0,0.006026254381004126,1.0,0.0,1.0,0.006026254381004126,0.006026254381004126,0.44747578172299496,0.4745642187829814,1.042570101565494,1.042570101565494,-0.5707954975391316,-0.5448131324019468
2025-12-01,96305.60685863173,96392.8420646492,97826.513392808,95312.46495751526,778250.0,75413399420.0,1078188.0,-0.3259893239733702,0.04,up_trend,1.0,52.0,down_trend,40.0,0,,,0,0,45,uptrend_push_failure,1.668517617160431,0.007385413574326,0.055662200240182,5,0.85,0.95,0.0214994104300121,-1.4590241046117,0.4297359955231492,0.7218128934842533,0.077114444397766,0.05,1.668517617160431,0,1.0,0,0.0059796984122542085,1.0,0.0,1.0,0.0059796984122542085,0.0059796984122542085,0.45015155194448614,0.47740196968855064,1.042570101565494,1.042570101565494,-0.5682289840572339,-0.5420912522124918
2025-12-02,96295.80925291964,96029.9968753506,96691.71560266276,94627.6404407954,600263.0,57689691460.0,1078521.0,-0.585978044618334,0.04,up_trend,1.0,52.0,down_trend,40.0,1,40.0,down_trend,0,1,45,uptrend_push_failure,2.3880570124531904,0.0082324253700774,-0.0054846486417388,6,0.8,0.9333333333333332,0.011661385062025,-1.2154585338442576,0.6794115158512394,0.5565612537910712,0.0098545283279775,1.0,2.3880570124531904,0,1.0,0,-0.003764233749382062,1.0,0.0,1.0,-0.003764233749382062,-0.003764233749382062,0.44845707628032,0.4756049170822275,1.042570101565494,1.042570101565494,-0.5698542710874507,-0.5438149277750508
