date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_change,speculation_change_rate,speculation_change_rate_rank,speculation_fast_rise_signal,speculation_fast_drop_signal,signal_type,signal,position_scale,is_effective_signal,realtime_trend,realtime_position,realtime_segment_id,base_position,factor_position,daily_return,strategy_return,base_strategy_return,nav,base_nav,running_max,drawdown
2024-12-20,76834.7565027762,up_trend,29.0,1,28.0,21,speculation_change_rate,0.1234368021673413,-0.5761155085611237,0.1163925602087196,0.1234368021673413,0.7,0,0,none,0,1.0,0,down_trend,-1.0,39.0,-1.0,-1.0,0.0157066923387994,-0.0157066923387994,-0.0157066923387994,1.0396216597463677,1.0653606797800486,2.193729278165493,0.5260939122735547
2024-12-23,76341.99427686159,up_trend,29.0,1,28.0,21,speculation_change_rate,-0.2372132305797891,-0.8468922587233039,-0.2707767501621801,-0.2372132305797891,0.2,0,0,none,0,1.0,0,down_trend,-1.0,39.0,-1.0,-1.0,-0.006413272434810269,0.006413272434810269,0.006413272434810269,1.0462890366794508,1.0721931280608126,2.193729278165493,0.52305462342445
2024-12-24,77258.71487875807,up_trend,29.0,0,,21,speculation_change_rate,0.0248209107321126,-0.8223743826354291,0.0245178760878748,0.0248209107321126,0.4,0,0,none,0,1.0,0,down_trend,-1.0,39.0,-1.0,-1.0,0.0120080777372924,-0.0120080777372924,-0.0120080777372924,1.0337251165913273,1.0593181496296675,2.193729278165493,0.5287818205828112
2024-12-25,76704.42082085463,up_trend,29.0,0,,21,speculation_change_rate,-0.033745752655685,-0.8567026660264337,-0.0343282833910046,-0.033745752655685,0.4,0,0,none,0,1.0,0,down_trend,-1.0,39.0,-1.0,-1.0,-0.007174518224556059,0.007174518224556059,0.007174518224556059,1.0411415962794932,1.0669182469997887,2.193729278165493,0.5254010571668404
2024-12-26,76699.10754414125,up_trend,29.0,0,,21,speculation_change_rate,-0.1124656424411146,-0.9760107116659128,-0.119308045639479,-0.1124656424411146,0.25,0,0,none,0,1.0,0,down_trend,-1.0,39.0,-1.0,-1.0,-6.926949785313052e-05,6.926949785313052e-05,6.926949785313052e-05,1.0412137156350616,1.0669921518910088,2.193729278165493,0.5253681819363887
2024-12-27,75807.53043463978,up_trend,29.0,0,,21,speculation_change_rate,0.2366016462387457,-0.7636437022623411,0.2123670094035716,0.2366016462387457,0.9,0,0,none,0,1.0,0,down_trend,-1.0,39.0,-1.0,-1.0,-0.0116243478972472,0.0116243478972472,0.0116243478972472,1.0533171461009891,1.0793952398682225,2.193729278165493,0.5198508965601143
2024-12-30,77402.32441373424,up_trend,29.0,0,,21,speculation_change_rate,1.0451414614678276,-0.0481767408481124,0.7154669614142287,1.0451414614678276,1.0,1,0,fast_rise,1,0.7,0,down_trend,-1.0,39.0,-1.0,-0.7,0.021037408420387482,-0.021037408420387482,-0.021037408420387482,1.0311580831022658,1.0566875613600926,2.193729278165493,0.529951989351862
2024-12-31,76258.52010231103,up_trend,29.0,0,,21,speculation_change_rate,-0.3710981742032826,-0.5119568551259706,-0.4637801142778581,-0.3710981742032826,0.05,0,0,none,0,1.0,0,down_trend,-1.0,39.0,-1.0,-1.0,-0.014777389698393262,0.010344172788875283,0.014777389698393262,1.041824560486521,1.0723026452437554,2.193729278165493,0.5250897315106506
2025-01-02,77011.20558874552,up_trend,29.0,0,,21,speculation_change_rate,-0.0167935684230031,-0.528893034403922,-0.0169361792779514,-0.0167935684230031,0.4,0,0,none,0,1.0,0,down_trend,-1.0,39.0,-1.0,-1.0,0.009870182183245424,-0.009870182183245424,-0.009870182183245424,1.0315415622715396,1.0617188227796235,2.193729278165493,0.5297771823813344
2025-01-03,75787.7645076761,up_trend,29.0,0,,21,speculation_change_rate,0.1576345804851595,-0.3825142659465788,0.1463787684573432,0.1576345804851595,0.75,0,0,none,0,1.0,0,down_trend,-1.0,39.0,-1.0,-1.0,-0.015886533287153504,0.015886533287153504,0.015886533287153504,1.0479291816376488,1.0785858541993094,2.193729278165493,0.5223069719368563
