date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,daily_return,is_up_day,price_up_ratio,open_interest,log_open_interest,delta_log_open_interest,oi_change_rate,log_open_interest_median_past,log_open_interest_mad_past,log_open_interest_mad_score,signal,position_scale,is_effective_signal,open,base_position,reduce_signal,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2025-02-21,76708.1847371373,down_trend,31.0,0,,42,price_up_oi_down,0.9903435308971096,-0.004706930855375506,0,0.4,388682.0,12.870516807561213,0.0336565449287871,3.422933441187004,12.858858316869473,0.0079402187170662,0.9903435308971096,0,1.0,0,77070.95238095238,1.0,0.0,1.0,-0.004706930855375506,-0.004706930855375506,-0.5183968981610243,-0.4477230272828696,0.94895866661765,0.94895866661765,-1.5462797447319108,-1.471804561181445
2025-02-24,76851.0123250986,down_trend,31.0,0,,42,price_up_oi_down,0.7481976893716349,0.0009797082780711674,1,0.4,388719.0,12.870611996530684,9.518896947113832e-05,0.00951935000848,12.861791677694963,0.0079514059376775,0.7481976893716349,0,1.0,0,76775.7944437266,1.0,0.0,1.0,0.0009797082780711674,0.0009797082780711674,-0.5174171898829532,-0.44674331900479847,0.94895866661765,0.94895866661765,-1.5452473412010352,-1.4707721576505695
2025-02-25,76777.67336116197,down_trend,31.0,0,,42,price_up_oi_down,-2.403446692397422,-0.0009298857713080201,0,0.4,375632.0,12.83636521970529,-0.0342467768253946,-3.3666993380822463,12.862428750206297,0.0073143334263461,-2.403446692397422,0,1.0,0,76849.13427766411,1.0,0.0,1.0,-0.0009298857713080201,-0.0009298857713080201,-0.5183470756542612,-0.4476732047761065,0.94895866661765,0.94895866661765,-1.546227242438064,-1.4717520588875983
2025-02-26,76178.82043329345,down_trend,31.0,0,,42,price_up_oi_down,0.83128053778102,-0.006618976057142413,0,0.3,389482.0,12.872572930131373,0.0362077104260833,3.6871193082592018,12.861923955915737,0.0086404461302116,0.83128053778102,0,1.0,0,76686.40591797282,1.0,0.0,1.0,-0.006618976057142413,-0.006618976057142413,-0.5249660517114036,-0.45429218083324896,0.94895866661765,0.94895866661765,-1.553202231223123,-1.478727047672657
2025-02-27,76335.32661723981,down_trend,31.0,0,,42,price_up_oi_down,-0.3567978240803438,0.0020490893297685805,1,0.4,384946.0,12.860858343692344,-0.0117145864390284,-1.1646237823571326,12.865128121554235,0.0080715898984164,-0.3567978240803438,0,1.0,0,76179.22857282124,1.0,0.0,1.0,0.0020490893297685805,0.0020490893297685805,-0.522916962381635,-0.4522430915034803,0.94895866661765,0.94895866661765,-1.5510429281872256,-1.4765677446367598
2025-02-28,75445.06941462003,down_trend,31.0,0,,42,price_up_oi_down,2.524661163403928,-0.0090691260671334,0,0.4,400492.0,12.900449070259835,0.0395907265674928,4.038488515272354,12.861072613548377,0.0105198497826535,2.524661163403928,0,1.0,0,76135.5523369547,1.0,0.0,1.0,-0.0090691260671334,-0.0090691260671334,-0.5319860884487684,-0.4613122175706137,0.94895866661765,0.94895866661765,-1.5605998524097084,-1.4861246688592429
2025-03-03,75680.27852450938,down_trend,31.0,0,,42,price_up_oi_down,1.1025886547741135,0.0033530905411523876,1,0.4,391707.0,12.878269390313749,-0.02217967994609,-2.1935519311247043,12.861072613548377,0.0105198497826535,1.1025886547741135,0,1.0,0,75427.36374459333,1.0,0.0,1.0,0.0033530905411523876,0.0033530905411523876,-0.5286329979076161,-0.4579591270294614,0.94895866661765,0.94895866661765,-1.557066410270333,-1.4825912267198673
2025-03-04,75527.12004578476,down_trend,31.0,0,,42,price_up_oi_down,0.1742113430298837,-0.0012085782423073082,0,0.4,387902.0,12.8685080093828,-0.0097613809309482,-0.9713893292692344,12.86568757562678,0.0109198199896036,0.1742113430298837,0,1.0,0,75618.51093281384,1.0,0.0,1.0,-0.0012085782423073082,-0.0012085782423073082,-0.5298415761499233,-0.45916770527176864,0.94895866661765,0.94895866661765,-1.558339993920309,-1.4838648103698433
2025-03-05,75599.01703994264,down_trend,31.0,0,,42,price_up_oi_down,-1.8063089497496772,-0.00020900507939723058,1,0.4,379344.0,12.846198724112869,-0.022309285269932,-2.2062273460821347,12.869512408472003,0.0087055233107014,-1.8063089497496772,0,1.0,0,75614.82092159297,1.0,0.0,1.0,-0.00020900507939723058,-0.00020900507939723058,-0.5300505812293206,-0.4593767103511659,0.94895866661765,0.94895866661765,-1.558560240688424,-1.4840850571379582
2025-03-06,77013.02660503009,down_trend,31.0,0,,42,price_up_oi_down,-3.486111677094977,0.019128582165775104,1,0.5,371208.0,12.824517831386084,-0.0216808927267813,-2.1447551562698175,12.869512408472003,0.0087055233107014,-3.486111677094977,0,1.0,0,75567.52695657678,1.0,0.0,1.0,0.019128582165775104,0.019128582165775104,-0.5109219990635454,-0.4402481281853907,0.94895866661765,0.94895866661765,-1.5384027956503228,-1.463927612099857
2025-03-07,76397.8622895749,down_trend,31.0,0,,42,price_up_oi_down,-2.929166440774194,-0.007239116899934332,0,0.5,373886.0,12.83170621709757,0.0071883857114851,0.7214284174910546,12.869512408472003,0.0087055233107014,-2.929166440774194,0,1.0,0,76954.9481552995,1.0,0.0,1.0,-0.007239116899934332,-0.007239116899934332,-0.5181611159634798,-0.4474872450853251,0.94895866661765,0.94895866661765,-1.546031280593441,-1.4715560970429755
2025-03-10,76014.01416184894,down_trend,31.0,0,,42,price_up_oi_down,-1.553596719563673,-0.0043390308345757165,0,0.4,372409.0,12.82774799165478,-0.0039582254427905,-0.3950401994190944,12.864683176537572,0.0160353331004401,-1.553596719563673,0,1.0,0,76345.27868011624,1.0,0.0,1.0,-0.0043390308345757165,-0.0043390308345757165,-0.5225001467980555,-0.45182627591990077,0.94895866661765,0.94895866661765,-1.550603693478442,-1.4761285099279762
2025-03-11,76210.66910874125,down_trend,31.0,0,,42,price_up_oi_down,-0.8552524687724071,0.004189203177835174,1,0.5,372361.0,12.82761909279992,-0.0001288988548591,-0.0128890547758664,12.853528533902605,0.020433356516901,-0.8552524687724071,0,1.0,0,75892.73900532552,1.0,0.0,1.0,0.004189203177835174,0.004189203177835174,-0.5183109436202202,-0.44763707274206554,0.94895866661765,0.94895866661765,-1.5461891669819754,-1.4717139834315094
2025-03-12,75867.29421672014,down_trend,31.0,0,,42,price_up_oi_down,-0.7112027683323433,-0.006123090748500098,0,0.5,372868.0,12.828979748593566,0.0013606557936451,0.1361581905731768,12.853528533902605,0.0232815866080882,-0.7112027683323433,0,1.0,0,76334.69850291287,1.0,0.0,1.0,-0.006123090748500098,-0.006123090748500098,-0.5244340343687204,-0.4537601634905657,0.94895866661765,0.94895866661765,-1.5526415984354172,-1.4781664148849516
2025-03-13,75593.69962979163,down_trend,31.0,0,,42,price_up_oi_down,-0.2342106813756649,-0.004225640845551318,0,0.4,374924.0,12.834478617746218,0.0054988691526514,0.5514015683834694,12.838952470605218,0.0128840085122146,-0.2342106813756649,0,1.0,0,75914.48698677201,1.0,0.0,1.0,-0.004225640845551318,-0.004225640845551318,-0.5286596752142716,-0.4579858043361169,0.94895866661765,0.94895866661765,-1.5570945224606676,-1.4826193389102018
2025-03-14,75804.69022146142,down_trend,31.0,0,,42,price_up_oi_down,-0.1346539604370243,0.0006731417805822337,1,0.5,373880.0,12.83169016929652,-0.0027884484496976,-0.2784564338372819,12.833092417421897,0.0070239553288917,-0.1346539604370243,0,1.0,0,75753.69724281371,1.0,0.0,1.0,0.0006731417805822337,0.0006731417805822337,-0.5279865334336893,-0.4573126625555346,0.94895866661765,0.94895866661765,-1.5563851746204906,-1.481909991070025
2025-03-17,76478.7458593696,down_trend,31.0,0,,42,price_up_oi_down,1.5543071027182804,0.0064582633036068746,1,0.5,377358.0,12.8409496179653,0.0092594486687787,0.9302449983952245,12.831698193197044,0.0040146509696947,1.5543071027182804,0,1.0,0,75987.99537730968,1.0,0.0,1.0,0.0064582633036068746,0.0064582633036068746,-0.5215282701300825,-0.45085439925192783,0.94895866661765,0.94895866661765,-1.5495795427939478,-1.475104359243482
2025-03-18,75675.40676742094,down_trend,31.0,0,,42,price_up_oi_down,3.6893154331966422,-0.010145240772634808,0,0.5,382184.0,12.853657447013028,0.0127078290477289,1.278891662559034,12.831698193197044,0.0040146509696947,3.6893154331966422,0,1.0,0,76451.02078055336,1.0,0.0,1.0,-0.010145240772634808,-0.010145240772634808,-0.5316735109027173,-0.4609996400245626,0.94895866661765,0.94895866661765,-1.5602704623561192,-1.4857952788056537
2025-03-19,75471.09885655322,down_trend,31.0,0,,42,price_up_oi_down,2.68403038024224,-0.0038387551275546805,0,0.4,379904.0,12.847673868206888,-0.0059835788061395,-0.5965712850354188,12.831698193197044,0.0040146509696947,2.68403038024224,0,1.0,0,75761.9303551776,1.0,0.0,1.0,-0.0038387551275546805,-0.0038387551275546805,-0.535512266030272,-0.46483839515211733,0.94895866661765,0.94895866661765,-1.5643156913661849,-1.489840507815719
2025-03-20,73571.8434436724,down_trend,31.0,0,,42,price_up_oi_down,9.318397392028729,-0.02541849022862371,0,0.3,395206.0,12.887162426926835,0.0394885587199489,4.027859669811407,12.831698193197044,0.0040146509696947,9.318397392028729,0,1.0,0,75490.70314388724,1.0,0.0,1.0,-0.02541849022862371,-0.02541849022862371,-0.5609307562588957,-0.49025688538074097,0.94895866661765,0.94895866661765,-1.591101357721098,-1.5166261741706322
2025-03-21,73544.80495589854,down_trend,31.0,0,,42,price_up_oi_down,5.706801611498715,-0.00231770279850196,0,0.3,391937.0,12.87885639157096,-0.0083060353558757,-0.8271635552091761,12.833092417421897,0.0054088751945444,5.706801611498715,0,1.0,0,73715.65593795935,1.0,0.0,1.0,-0.00231770279850196,-0.00231770279850196,-0.5632484590573976,-0.49257458817924293,0.94895866661765,0.94895866661765,-1.5935437220516362,-1.5190685385011702
2025-03-24,74012.59724792495,down_trend,31.0,0,,42,price_up_oi_down,1.053672985372771,0.004916370815519761,1,0.4,382039.0,12.853277976618289,-0.0255784149526743,-2.5254058688004677,12.837714117855755,0.0099629382760539,1.053672985372771,0,1.0,0,73650.50405921988,1.0,0.0,1.0,0.004916370815519761,0.004916370815519761,-0.5583320882418779,-0.48765821736372317,0.94895866661765,0.94895866661765,-1.5883629159865595,-1.5138877324360935
2025-03-25,74047.76297333329,down_trend,31.0,0,,42,price_up_oi_down,-0.6928878416218024,0.0005937934297602205,1,0.4,374287.0,12.83277816179057,-0.0204998148277173,-2.0291122110569715,12.844311743086092,0.0112273495647245,-0.6928878416218024,0,1.0,0,74003.81999124533,1.0,0.0,1.0,0.0005937934297602205,0.0005937934297602205,-0.5577382948121177,-0.487064423933963,0.94895866661765,0.94895866661765,-1.5877371843813286,-1.513262000830863
2025-03-26,74670.51762388021,down_trend,31.0,0,,42,price_up_oi_down,-2.0619114179404643,0.009505820110670625,1,0.5,366463.0,12.81165284023301,-0.0211253215575588,-2.090374498713443,12.844311743086092,0.0106833533176997,-2.0619114179404643,0,1.0,0,73967.39685531896,1.0,0.0,1.0,0.009505820110670625,0.009505820110670625,-0.5482324747014471,-0.4775586038232924,0.94895866661765,0.94895866661765,-1.5777200777937974,-1.5032448942433319
2025-03-27,74610.73315759437,down_trend,31.0,0,,42,price_up_oi_down,-1.802815788268632,0.00011410485051763756,0,0.5,367970.0,12.81575669208886,0.0041038518558487,0.411228418694276,12.844311743086092,0.0106833533176997,-1.802815788268632,0,1.0,0,74602.22068235512,1.0,0.0,1.0,0.00011410485051763756,0.00011410485051763756,-0.5481183698509295,-0.47744449897277486,0.94895866661765,0.94895866661765,-1.5775998356225296,-1.503124652072064
2025-03-28,74335.32282182087,down_trend,31.0,0,,42,price_up_oi_down,-1.7188337498109003,-0.0035142581067799886,0,0.4,367153.0,12.81353393389363,-0.0022227581952289,-0.2220289697528299,12.844311743086092,0.0120775775425485,-1.7188337498109003,0,1.0,0,74597.47761226511,1.0,0.0,1.0,-0.0035142581067799886,-0.0035142581067799886,-0.5516326279577095,-0.4809587570795548,0.94895866661765,0.94895866661765,-1.581303113995344,-1.5068279304448784
2025-03-31,74451.19477532287,down_trend,31.0,0,,42,price_up_oi_down,-1.4567753917709605,0.0018201526029518957,1,0.4,362587.0,12.801019724481474,-0.0125142094121564,-1.2436232306423212,12.844311743086092,0.0200443161463788,-1.4567753917709605,0,1.0,0,74315.92844472342,1.0,0.0,1.0,0.0018201526029518957,0.0018201526029518957,-0.5498124753547575,-0.47913860447660284,0.94895866661765,0.94895866661765,-1.5793850614320648,-1.504909877881599
2025-04-01,74660.0485069908,down_trend,31.0,0,,42,price_up_oi_down,-1.5301317673044257,0.0020078068241085115,1,0.5,355825.0,12.782194315938826,-0.0188254085426482,-1.8649317267304788,12.840226014998729,0.0255807020074838,-1.5301317673044257,0,1.0,0,74510.44592519483,1.0,0.0,1.0,0.0020078068241085115,0.0020078068241085115,-0.547804668530649,-0.47713079765249433,0.94895866661765,0.94895866661765,-1.5772692613506294,-1.5027940778001638
2025-04-02,73724.81222965005,down_trend,31.0,0,,42,price_up_oi_down,-0.3861347785553461,-0.012066686286919126,0,0.5,366192.0,12.81091306499812,0.0287187490592941,2.913510855055157,12.824267426939716,0.0233270718627069,-0.3861347785553461,0,1.0,0,74625.2922199377,1.0,0.0,1.0,-0.012066686286919126,-0.012066686286919126,-0.5598713548175682,-0.48919748393941354,0.94895866661765,0.94895866661765,-1.5899849745965269,-1.515509791046061
2025-04-03,73560.76572671706,down_trend,31.0,0,,42,price_up_oi_down,-0.6220144460504159,0.002285753335087236,0,0.5,362218.0,12.800001519497016,-0.0109115455011039,-1.0852230523878292,12.814645312991246,0.0158792186545477,-0.6220144460504159,0,1.0,0,73393.00741524558,1.0,0.0,1.0,0.002285753335087236,0.002285753335087236,-0.5575856014824809,-0.48691173060432624,0.94895866661765,0.94895866661765,-1.5875762781848755,-1.51310109463441
2025-04-07,71403.0454593066,down_trend,31.0,0,,42,price_up_oi_down,-3.6336126336378527,0.014011651721551797,0,0.5,343692.0,12.747501186454144,-0.0525003330428734,-5.114599495331573,12.81259338706332,0.0120827650740746,-3.6336126336378527,0,1.0,0,70416.39545076343,1.0,0.0,1.0,0.014011651721551797,0.014011651721551797,-0.5435739497609291,-0.4729000788827744,0.94895866661765,0.94895866661765,-1.5728109862765427,-1.4983358027260771
2025-04-08,70668.94100891167,down_trend,31.0,0,,42,price_up_oi_down,-3.421072604712317,-0.013988239887063093,0,0.4,346849.0,12.75664480571862,0.009143619264476,0.918554985277642,12.811282952615564,0.0107723306263203,-3.421072604712317,0,1.0,0,71671.49913183319,1.0,0.0,1.0,-0.013988239887063093,-0.013988239887063093,-0.5575621896479921,-0.4868883187698374,0.94895866661765,0.94895866661765,-1.5875516071056048,-1.513076423555139
2025-04-09,70332.91160630052,down_trend,31.0,0,,42,price_up_oi_down,-6.544614307144919,-0.0011460960234653617,0,0.3,334956.0,12.721754458897337,-0.0348903468212817,-3.428869623380848,12.805966394739798,0.008678918251447,-6.544614307144919,0,1.0,0,70413.61236743267,1.0,0.0,1.0,-0.0011460960234653617,-0.0011460960234653617,-0.5587082856714574,-0.4880344147933027,0.94895866661765,0.94895866661765,-1.5887593478258095,-1.5142841642753437
2025-04-10,70997.73254985863,down_trend,31.0,0,,42,price_up_oi_down,-4.471931173389646,-0.005938376193069972,1,0.3,329983.0,12.706796416964195,-0.0149580419331396,-1.4846726137163757,12.800510621989243,0.0141346910019999,-4.471931173389646,0,1.0,0,71421.86243742173,1.0,0.0,1.0,-0.005938376193069972,-0.005938376193069972,-0.5646466618645274,-0.4939727909863727,0.94895866661765,0.94895866661765,-1.5950171295416729,-1.520541945991207
2025-04-11,70709.07060622497,down_trend,31.0,0,,42,price_up_oi_down,-2.7335060148494295,-0.00033057549375879833,0,0.3,326331.0,12.695667482665758,-0.0111289342984388,-1.1067236797046909,12.79109791771792,0.0235473952733249,-2.7335060148494295,0,1.0,0,70732.45302180742,1.0,0.0,1.0,-0.00033057549375879833,-0.00033057549375879833,-0.5649772373582862,-0.4943033664801315,0.94895866661765,0.94895866661765,-1.5953654855927715,-1.520890302042306
2025-04-14,71103.20749790172,down_trend,31.0,0,,42,price_up_oi_down,-1.625486986043546,-5.11577537372368e-05,1,0.4,321690.0,12.6813436278823,-0.0143238547834574,-1.4221756437482913,12.769419560828725,0.0365468339110739,-1.625486986043546,0,1.0,0,71106.84516437567,1.0,0.0,1.0,-5.11577537372368e-05,-5.11577537372368e-05,-0.5650283951120234,-0.4943545242338687,0.94895866661765,0.94895866661765,-1.5954193949520903,-1.5209442114016243
2025-04-15,71087.33323015014,down_trend,31.0,0,,42,price_up_oi_down,-0.9626251927512124,-3.0793694555227854e-05,0,0.3,323050.0,12.68556238898631,0.0042187611040098,0.4227672604059096,12.75207299608638,0.0466025512664094,-0.9626251927512124,0,1.0,0,71089.52233918713,1.0,0.0,1.0,-3.0793694555227854e-05,-3.0793694555227854e-05,-0.5650591888065786,-0.4943853179284239,0.94895866661765,0.94895866661765,-1.595451844937151,-1.5209766613866853
2025-04-16,70676.10144038187,down_trend,31.0,0,,42,price_up_oi_down,-0.7052665852827918,-0.007686094831475095,0,0.2,324289.0,12.689390372509532,0.0038279835232213,0.3835319609967857,12.73462782267574,0.0432634166365337,-0.7052665852827918,0,1.0,0,71223.53226359247,1.0,0.0,1.0,-0.007686094831475095,-0.007686094831475095,-0.5727452836380538,-0.5020714127598991,0.94895866661765,0.94895866661765,-1.6035513492694848,-1.5290761657190188
2025-04-17,70755.53845674977,down_trend,31.0,0,,42,price_up_oi_down,-0.7492399422770559,-0.001467144570586971,1,0.3,321270.0,12.68003717006303,-0.0093532024465012,-0.9309597303638896,12.714275437930766,0.0308224294964603,-0.7492399422770559,0,1.0,0,70859.49958684311,1.0,0.0,1.0,-0.001467144570586971,-0.001467144570586971,-0.5742124282086407,-0.503538557330486,0.94895866661765,0.94895866661765,-1.6050974066713484,-1.5306222231208828
2025-04-18,70544.51105069152,down_trend,31.0,0,,42,price_up_oi_down,-0.5738513329586717,-0.002650020589191337,0,0.3,322559.0,12.684041344221868,0.0040041741588368,0.4012201574998597,12.70123194981498,0.0202054155075179,-0.5738513329586717,0,1.0,0,70731.95218028297,1.0,0.0,1.0,-0.002650020589191337,-0.002650020589191337,-0.576862448797832,-0.5061885779196773,0.94895866661765,0.94895866661765,-1.607889963062278,-1.5334147795118125
2025-04-21,69349.62691828462,down_trend,31.0,0,,42,price_up_oi_down,3.761589185977962,-0.015823843039838786,0,0.3,347511.0,12.758551598162244,0.0745102539403763,7.735639061381017,12.692528927587643,0.0118385286149793,3.761589185977962,0,1.0,0,70464.64845529868,1.0,0.0,1.0,-0.015823843039838786,-0.015823843039838786,-0.5926862918376707,-0.522012420959516,0.94895866661765,0.94895866661765,-1.6245649180381774,-1.5500897344877118
2025-04-22,68216.3455374353,down_trend,31.0,0,,42,price_up_oi_down,7.239319412075056,-0.012296548109226924,0,0.3,369384.0,12.8195920323279,0.0610404341656565,6.2941892486857665,12.692528927587643,0.0118385286149793,7.239319412075056,0,1.0,0,69065.6141849539,1.0,0.0,1.0,-0.012296548109226924,-0.012296548109226924,-0.6049828399468977,-0.534308969068743,0.94895866661765,0.94895866661765,-1.6375228566099966,-1.5630476730595309
2025-04-23,69295.07330352362,down_trend,31.0,0,,42,price_up_oi_down,6.695655868137063,0.01182170227306796,1,0.4,365876.0,12.81004975716435,-0.0095422751635503,-0.9496892123103008,12.692528927587643,0.0118385286149793,6.695655868137063,0,1.0,0,68485.45860189747,1.0,0.0,1.0,0.01182170227306796,0.01182170227306796,-0.5931611376738297,-0.522487266795675,0.94895866661765,0.94895866661765,-1.6250653042539982,-1.5505901207035322
2025-04-24,68655.5618137744,down_trend,31.0,0,,42,price_up_oi_down,6.508484776095261,-0.007134187057885726,0,0.3,364676.0,12.806764567118336,-0.0032851900460126,-0.3279799713564624,12.692528927587643,0.0118385286149793,6.508484776095261,0,1.0,0,69148.88287907757,1.0,0.0,1.0,-0.007134187057885726,-0.007134187057885726,-0.6002953247317155,-0.5296214538535609,0.94895866661765,0.94895866661765,-1.6325832155275353,-1.5581080319770697
