date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_median_history,speculation_mad_history,speculation_mad_value,signal,position_scale,is_effective_signal,open,realtime_trend,realtime_position,realtime_segment_id,base_position,factor_position,daily_price_return,strategy_return,base_strategy_return,nav,base_nav,running_max,drawdown
2025-11-28,95819.86815120305,down_trend,40.0,0,,12,speculation_mad,-1.1532181032036863,-0.2410465987862632,0.376279592933335,0.3610598990260587,-1.1532181032036863,0,1.0,0,94231.2558839615,up_trend,1.0,52.0,1.0,1.0,1588.6122672415513,1588.6122672415513,1588.6122672415513,62073.704146742326,56007.01364247951,113095.75620509371,51022.052058351386
2025-12-01,96392.8420646492,down_trend,40.0,0,,12,speculation_mad,-1.31189837586207,-0.3259893239733702,0.376279592933335,0.3610598990260587,-1.31189837586207,0,1.0,0,96305.60685863173,up_trend,1.0,52.0,1.0,1.0,87.23520601747441,87.23520601747441,87.23520601747441,62160.9393527598,56094.24884849699,113095.75620509371,50934.81685233391
2025-12-02,96029.9968753506,down_trend,40.0,1,40.0,12,speculation_mad,-1.20126744956635,-0.585978044618334,0.2256084037065995,0.4556916614274428,-1.20126744956635,0,1.0,0,96295.80925291964,up_trend,1.0,52.0,1.0,1.0,-265.8123775690474,-265.8123775690474,-265.8123775690474,61895.12697519075,55828.43647092794,113095.75620509371,51200.62922990296
2025-12-03,93184.9829012468,down_trend,40.0,1,40.0,12,speculation_mad,-0.5233470847351797,-0.1946277273691737,0.1131618305497237,0.3966797919295404,-0.5233470847351797,0,1.0,0,95825.3310298964,up_trend,1.0,52.0,1.0,1.0,-2640.34812864961,-2640.34812864961,-2640.34812864961,59254.77884654114,53188.08834227833,113095.75620509371,53840.97735855257
2025-12-04,93290.9207135939,down_trend,40.0,1,40.0,12,speculation_mad,-0.5044397948666116,-0.1739451707556575,0.009450129094915,0.2452194222966884,-0.5044397948666116,0,1.0,0,93375.82543688171,up_trend,1.0,52.0,1.0,1.0,-84.90472328780743,-84.90472328780743,-84.90472328780743,59169.874123253336,53103.18361899052,113095.75620509371,53925.88208184038
2025-12-05,91762.80919857872,up_trend,41.0,1,40.0,12,speculation_mad,-1.4422886787915077,-0.5040661887699388,-0.0897720060295948,0.1937459553502219,-1.4422886787915077,0,1.0,0,93034.53546790572,down_trend,-1.0,53.0,1.0,1.0,-1271.7262693270022,-1271.7262693270022,-1271.7262693270022,57898.14785392633,51831.45734966352,113095.75620509371,55197.60835116738
2025-12-08,94412.5482067781,up_trend,41.0,1,40.0,12,speculation_mad,-0.3275542815765053,-0.2783711266978205,-0.1842864490624156,0.1937365781573305,-0.3275542815765053,0,1.0,0,91728.0864359336,down_trend,-1.0,53.0,-1.0,-1.0,2684.4617708445003,-2684.4617708445003,-2684.4617708445003,55213.68608308183,49146.99557881902,113095.75620509371,57882.07012201188
2025-12-09,92396.22369720136,up_trend,41.0,1,40.0,12,speculation_mad,-0.8577787320475032,-0.4407027185020209,-0.2178371630777184,0.1752442117333661,-0.8577787320475032,0,1.0,0,94169.64400943472,down_trend,-1.0,53.0,-1.0,-1.0,-1773.4203122333565,1773.4203122333565,1773.4203122333565,56987.10639531519,50920.41589105238,113095.75620509371,56108.64980977852
2025-12-10,95566.96369037496,up_trend,41.0,0,,12,speculation_mad,-0.100614298066551,-0.279605075583625,-0.2597088627420418,0.1333787738731817,-0.100614298066551,0,1.0,0,92509.38216747611,up_trend,1.0,54.0,-1.0,-1.0,3057.5815228988504,-3057.5815228988504,-3057.5815228988504,53929.52487241634,47862.834368153526,113095.75620509371,59166.23133267737
2025-12-11,98510.09342365916,up_trend,41.0,0,,12,speculation_mad,0.9264620664748076,-0.1489085010122777,-0.2789881011407227,0.0947016520783071,0.9264620664748076,0,1.0,0,95648.02809816114,up_trend,1.0,54.0,1.0,1.0,2862.0653254980134,2862.0653254980134,2862.0653254980134,56791.59019791435,50724.89969365154,113095.75620509371,56304.16600717936
2025-12-12,97397.64133122387,up_trend,41.0,0,,12,speculation_mad,1.1122773580611054,-0.1228191664329722,-0.2789881011407227,0.0947016520783071,1.1122773580611054,0,1.0,0,99217.16743064365,up_trend,1.0,54.0,1.0,1.0,-1819.5260994197743,-1819.5260994197743,-1819.5260994197743,54972.06409849458,48905.373594231765,113095.75620509371,58123.692106599134
2025-12-15,100757.24435037804,up_trend,41.0,0,,12,speculation_mad,0.2360845111200917,-0.2378394368412476,-0.2789881011407227,0.1175612652567551,0.2360845111200917,0,1.0,0,97619.1259919536,up_trend,1.0,54.0,1.0,1.0,3138.1183584244427,3138.1183584244427,3138.1183584244427,58110.18245691902,52043.49195265621,113095.75620509371,54985.57374817469
2025-12-16,100362.44145363112,up_trend,41.0,0,,12,speculation_mad,-0.8020154171711354,-0.3730625336206029,-0.258105281769534,0.0966784458855664,-0.8020154171711354,0,1.0,0,101100.82794813174,up_trend,1.0,54.0,1.0,1.0,-738.3864945006208,-738.3864945006208,-738.3864945006208,57371.7959624184,51305.10545815559,113095.75620509371,55723.96024267531
2025-12-17,108400.26703020018,up_trend,41.0,0,,12,speculation_mad,4.085469610612721,0.3274873999941869,-0.258105281769534,0.0966784458855664,4.085469610612721,1,0.5,0,101295.32898209298,up_trend,1.0,54.0,1.0,1.0,7104.9380481072,7104.9380481072,7104.9380481072,64476.7340105256,58410.04350626279,113095.75620509371,48619.02219456811
2025-12-18,106093.20558115456,up_trend,41.0,0,,12,speculation_mad,2.79814378178717,0.2068493552607957,-0.258105281769534,0.1120770163041625,2.79814378178717,0,1.0,0,107477.65326172506,up_trend,1.0,54.0,1.0,0.5,-1384.4476805705053,-692.2238402852527,-1384.4476805705053,63784.51017024035,57025.59582569228,113095.75620509371,49311.246034853364
2025-12-19,111306.9801743984,up_trend,41.0,0,,12,speculation_mad,2.1072931108230724,0.132808986731991,-0.258105281769534,0.1251216835938153,2.1072931108230724,0,1.0,0,105974.6308897307,up_trend,1.0,54.0,1.0,1.0,5332.349284667696,5332.349284667696,5332.349284667696,69116.85945490804,62357.94511035998,113095.75620509371,43978.89675018567
2025-12-22,114367.91199111343,up_trend,41.0,0,,12,speculation_mad,2.1144322785576617,0.2234361420402812,-0.1933739689267626,0.1329598356753513,2.1144322785576617,0,1.0,0,109222.42648131136,up_trend,1.0,54.0,1.0,1.0,5145.485509802078,5145.485509802078,5145.485509802078,74262.34496471012,67503.43062016205,113095.75620509371,38833.41124038359
2025-12-23,120307.89126146983,up_trend,41.0,1,41.0,12,speculation_mad,0.1028883245404619,-0.0972804488277718,-0.1358638337226249,0.2529357601762969,0.1028883245404619,0,1.0,0,113910.09381126772,up_trend,1.0,54.0,1.0,1.0,6397.79745020211,6397.79745020211,6397.79745020211,80660.14241491223,73901.22807036416,113095.75620509371,32435.61379018148
2025-12-24,124702.76002600374,up_trend,41.0,1,41.0,12,speculation_mad,1.084364672479183,0.2214649190915442,-0.110049807630372,0.206207031157808,1.084364672479183,0,1.0,0,121896.86342590456,up_trend,1.0,54.0,1.0,1.0,2805.8966000991786,2805.8966000991786,2805.8966000991786,83466.03901501141,76707.12467046334,113095.75620509371,29629.7171900823
2025-12-25,123776.4832185734,up_trend,41.0,1,41.0,12,speculation_mad,1.164602182842683,0.3568638930981281,0.0177642689521096,0.1963928682240603,1.164602182842683,0,1.0,0,119346.05829343847,up_trend,1.0,54.0,1.0,1.0,4430.424925134925,4430.424925134925,4430.424925134925,87896.46394014634,81137.54959559826,113095.75620509371,25199.292264947377
2025-12-26,130537.55436496645,up_trend,41.0,1,41.0,12,speculation_mad,-2.0456697562398425,-0.3528821748199254,0.1698291709963933,0.1723464755497641,-2.0456697562398425,0,1.0,0,125082.85493410258,up_trend,1.0,54.0,1.0,1.0,5454.699430863868,5454.699430863868,5454.699430863868,93351.1633710102,86592.24902646213,113095.75620509371,19744.59283408351
2025-12-29,119352.66209023353,up_trend,42.0,1,41.0,12,speculation_mad,0.1354964761856077,0.2044513504583084,0.1698291709963933,0.1723464755497641,0.1354964761856077,0,1.0,0,129894.09173548224,down_trend,-1.0,55.0,1.0,1.0,-10541.429645248718,-10541.429645248718,-10541.429645248718,82809.73372576149,76050.81938121341,113095.75620509371,30286.022479332227
2025-12-30,121834.2382644608,up_trend,42.0,1,41.0,12,speculation_mad,-2.9146191071313985,-0.2149732176400139,0.205650352859552,0.0973392066310979,-2.9146191071313985,0,1.0,0,117716.60495666892,down_trend,-1.0,55.0,-1.0,-1.0,4117.6333077918825,-4117.6333077918825,-4117.6333077918825,78692.1004179696,71933.18607342153,113095.75620509371,34403.65578712411
2025-12-31,121962.10617464282,up_trend,42.0,0,,12,speculation_mad,-3.4311582571165378,-0.2895176207278666,0.205650352859552,0.0973392066310979,-3.4311582571165378,1,0.5,0,123305.32261163506,down_trend,-1.0,55.0,-1.0,-1.0,-1343.2164369922393,1343.2164369922393,1343.2164369922393,80035.31685496184,73276.40251041377,113095.75620509371,33060.43935013187
2026-01-05,130229.31378172876,up_trend,42.0,0,,12,speculation_mad,-3.6274596352748456,-0.4849122867235071,0.1686301685951497,0.1215198489740549,-3.6274596352748456,1,0.5,0,124961.46400001748,up_trend,1.0,56.0,-1.0,-0.5,5267.84978171128,-2633.92489085564,-5267.84978171128,77401.39196410621,68008.55272870249,113095.75620509371,35694.3642409875
2026-01-06,138166.55286437558,up_trend,42.0,0,,12,speculation_mad,-1.9650811781966848,-0.6208730800024855,0.0177642689521096,0.2192046798401475,-1.9650811781966848,0,1.0,0,132404.52118275614,up_trend,1.0,56.0,1.0,0.5,5762.031681619439,2881.0158408097195,5762.031681619439,80282.40780491593,73770.58441032193,113095.75620509371,32813.34840017778
2026-01-07,142526.30217623973,up_trend,42.0,1,42.0,12,speculation_mad,-0.220043156120838,-0.2685744452353813,-0.1561268332338928,0.3446818185909077,-0.220043156120838,0,1.0,0,143453.24648336467,up_trend,1.0,56.0,1.0,1.0,-926.9443071249407,-926.9443071249407,-926.9443071249407,79355.46349779099,72843.64010319699,113095.75620509371,33740.292707302724
